frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
74,0.857916987,2.13999897,2.12058309,2.15941486,nan,nan,nan,0,0
75,0.839614006,2.27131643,2.34962602,2.19300684,1.66598381,1.42615231,nan,0,0
76,0.789607531,1.91368147,1.9630171,1.86434583,2.99394313,4.65067674,nan,0,0
77,0.797242941,1.98263671,2.12177303,1.84350039,3.3523001,1.4928591,nan,0,0
78,0.80732659,1.87905019,1.9395601,1.81854027,0.905368039,4.64579364,nan,0,0
79,0.823654312,2.39801836,2.35787588,2.43816083,5.72042947,1.64692227,nan,0,0
80,0.88870962,2.16868026,2.07870958,2.25865095,6.79569959,12.2840688,nan,0,0
81,0.839638362,2.02608616,1.99457672,2.05759561,5.64371885,9.60914365,nan,0,0
82,0.815531974,1.69893776,1.74639378,1.65148173,1.26638774,0.598393531,nan,0,0
83,0.813473784,1.51356702,1.52307574,1.50405829,1.66615062,1.4694735,nan,0,0
84,0.769963297,1.84788172,1.97004333,1.7257201,3.9627924,5.02113578,nan,0,0
85,0.828030181,1.92966481,1.92677254,1.93255708,6.50732771,4.9080396,nan,0,0
86,0.789413083,1.72380193,1.83430438,1.61329948,3.23781707,2.70714974,nan,0,0
87,0.806220168,1.73919212,1.75079152,1.72759272,2.9251143,4.28491343,nan,0,0
88,0.73540719,1.84426802,1.8648073,1.82372874,1.68264995,9.21181453,nan,0,0
89,0.704753796,1.72947662,1.79874803,1.66020522,2.18034964,4.96574165,nan,0,0
90,0.771584915,1.56812246,1.60149288,1.53475203,0.69512721,9.49172684,nan,0,0
91,0.762705356,1.83961036,1.80738694,1.87183379,3.8889069,2.06276794,nan,0,0
92,0.699318837,1.7704186,1.7166892,1.82414799,3.53829364,2.29491706,nan,0,0
93,0.791004723,1.56038282,1.47574521,1.64502043,3.20953621,6.25197485,nan,0,0
94,0.791057084,1.56087866,1.54595534,1.57580198,1.27490418,1.04433039,nan,0,0
