frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
0,0,forward,robust,True,3.005999795415599,1.9714111020844476,1.9195360333986653,1.0,1.4554820546808003,50,maximum_iterations,10000,8000
1,1,forward,robust,False,1.2644242001492274,2.6016629740187995,2.283001227363987,1.0,1.4954023211786054,50,maximum_iterations,10000,8000
2,2,forward,robust,False,2.6386124968651377,0.6000710159957959,2.352517943079835,0.9902,1.49888487170833,50,maximum_iterations,9902,7922
3,3,forward,robust,False,1.7157612414112493,1.4799934842481295,2.508521127943389,0.9626,1.3589926229045737,50,maximum_iterations,9626,7701
4,4,forward,robust,False,1.2419082317737298,5.558266059577845,2.5866337551949607,0.9578,1.4227205193692047,50,maximum_iterations,9578,7663
5,5,forward,robust,False,1.9352732339413854,4.605157414828876,2.589551862267305,0.9588,1.3556832127709104,50,maximum_iterations,9588,7671
6,6,forward,robust,False,1.2664822357605963,2.9156787005161853,2.168858823248997,0.9968,1.4065499111467548,35,converged,9968,7975
7,7,forward,robust,False,4.062602554150256,0.8021942683984664,2.835866763516684,0.9646,1.645735296651702,50,maximum_iterations,9646,7717
8,8,forward,robust,False,5.124708594638091,2.8798100921669634,2.351190845884419,1.0,1.6918539825200256,50,maximum_iterations,10000,8000
9,9,forward,robust,False,1.730793164618042,5.774013503402761,2.725451056562182,0.9781,1.6617906062093082,50,maximum_iterations,9781,7825
10,10,forward,robust,False,2.473624017009673,4.332702756956608,2.3958696589933375,0.9734,1.4751387002140746,50,maximum_iterations,9734,7788
11,11,forward,robust,False,2.5030398090859394,1.958304613734755,2.428350358151708,0.9789,1.4005575688610672,50,maximum_iterations,9789,7832
12,12,forward,robust,False,1.8534863568837654,1.827323509092872,2.3541150832104694,0.9962,1.4986165201986574,50,converged,9962,7970
13,13,forward,robust,False,1.3900387568286443,3.426675746568428,2.1090277968989413,1.0,1.3377626705481869,50,maximum_iterations,10000,8000
14,14,forward,robust,False,2.9912506254311935,1.8993506061449732,2.0534868356274307,0.9995,1.3965376720242282,50,maximum_iterations,9995,7996
15,15,forward,robust,False,2.4813903421243992,1.907514911477262,2.1172166519014977,1.0,1.3866504847170624,45,converged,10000,8000
16,16,forward,robust,False,2.4073741696364324,2.6662957764064505,2.0185291628951783,1.0,1.229569857649966,50,maximum_iterations,10000,8000
17,17,forward,robust,False,1.998166082556031,1.7693078860060953,2.1750938480802997,0.9923,1.2238328747003338,50,maximum_iterations,9923,7939
18,18,forward,robust,False,4.121521765860019,1.080299643591335,2.0269863885809225,1.0,1.317218750492481,50,maximum_iterations,10000,8000
19,19,forward,robust,False,3.715911748086108,1.2562613723762968,2.235422255278917,0.9999,1.35122640420906,50,maximum_iterations,9999,8000
