frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
252,0.846596994,2.89916118,2.9203348,2.87798756,nan,nan,nan,0,0
253,0.809005685,1.76923223,1.88726611,1.65119834,0.551043762,8.87795858,nan,0,0
254,0.780882607,2.55843096,2.69307534,2.42378658,0.502094286,7.86899539,nan,0,0
255,0.743248193,4.13468577,4.34851249,3.92085904,0.60316341,6.86391835,nan,0,0
256,0.712596511,2.75651968,3.1066966,2.40634275,0.444288212,5.8647258,nan,0,0
257,0.69325321,4.03155133,4.3044662,3.75863647,0.684560173,4.87503734,nan,0,0
258,0.679332057,3.60618527,4.14069926,3.07167128,1.18624816,3.90209127,nan,0,0
259,0.67445726,4.75725148,5.3949055,4.11959746,0.852737402,2.9624298,nan,0,0
260,0.666752885,24.3389156,27.0038338,21.6739973,0.726488854,2.06788498,nan,0,0
261,0.668911001,5.90117803,6.65864356,5.1437125,0.742996559,1.5606064,nan,0,0
262,0.68017529,5.44466435,6.23410018,4.65522852,0.705412546,1.21758559,nan,0,0
263,0.70520137,7.27596866,7.39982795,7.15210938,0.806259282,1.76628111,nan,0,0
264,0.717937653,3.18761048,3.69402875,2.68119221,1.10039955,2.12797642,nan,0,0
265,0.756306804,3.34110684,3.55827506,3.12393862,1.05334003,3.12888618,nan,0,0
266,0.771948219,3.9585436,4.21029704,3.70679015,0.735871788,1.7559163,nan,0,0
267,0.770161718,2.5177309,2.84847024,2.18699156,0.882744721,1.81835564,nan,0,0
268,0.769594738,2.86276823,2.88149157,2.84404488,1.03423859,1.90760715,nan,0,0
269,0.779264214,2.43841135,2.69342308,2.18339962,1.06098538,2.02012016,nan,0,0
270,0.783373667,2.64161773,2.62807371,2.65516176,1.08696454,2.15224965,nan,0,0
271,0.787154346,2.19343212,2.23708409,2.14978016,0.909998234,2.30061823,nan,0,0
272,0.784649377,2.39931607,2.43139383,2.36723832,0.854423675,2.46229213,nan,0,0
