frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
252,20,backward,robust,False,2.19282752140099,7.118926652811846,2.351945321138486,1.0,1.7659653736690935,50,maximum_iterations,10000,8000
253,19,backward,robust,False,2.457687744030731,2.415082614804516,1.979648855002822,1.0,1.5102192857606174,50,maximum_iterations,10000,8000
254,18,backward,robust,False,1.9658245138654742,5.8855717455202265,2.0855809021558604,1.0,1.6403347490115132,50,maximum_iterations,10000,8000
255,17,backward,robust,False,4.913580588507623,10.918165729423288,3.218049054404453,0.9463,2.1314728703809993,50,maximum_iterations,9463,7571
256,16,backward,robust,False,1.9771713320945898,1.9866689454766562,3.2167713640164615,0.9364,2.038554360685567,50,maximum_iterations,9364,7492
257,15,backward,robust,False,13.28590569094721,10.394943100559786,3.207439644451915,0.9751,2.333495516348197,50,maximum_iterations,9751,7801
258,14,backward,robust,False,5.634919561168716,5.198496762053889,3.2627110995944992,0.9725,2.3633114187942397,50,maximum_iterations,9725,7780
259,13,backward,robust,False,3.200885283955243,2.3485979520578195,3.0502699569110825,0.9447,1.9159822654780747,50,maximum_iterations,9447,7558
260,12,backward,robust,False,0.0,0.0,34.344094474165665,0.0,inf,1,insufficient_correspondences,0,0
261,11,backward,robust,False,6.934829089741455,3.4227794601413257,3.2941258862661504,0.9343,1.9917175140240198,50,maximum_iterations,9343,7475
262,10,backward,robust,False,10.627168957654002,4.100362482756912,2.998190196532946,0.9801,2.0980489323959866,50,maximum_iterations,9801,7841
263,9,backward,robust,False,4.785074504680884,10.299416766105402,2.9535663186130545,0.9956,2.2209883096553322,50,maximum_iterations,9956,7965
264,8,backward,robust,False,1.8107734169471614,4.460493886832963,3.1073659374244187,0.9721,2.2242871460994635,50,maximum_iterations,9721,7777
265,7,backward,robust,False,4.831131171250144,10.76807113966286,3.161224255675574,0.9417,1.9878659771019633,50,maximum_iterations,9417,7534
266,6,backward,robust,False,5.386380766945351,5.896765320427981,2.8453145543205145,0.9599,1.8383827983843002,50,maximum_iterations,9599,7680
267,5,backward,robust,False,5.035244715593128,5.130119564562996,3.105159496907621,0.9269,1.7204649959755187,50,maximum_iterations,9269,7416
268,4,backward,robust,False,5.7931253352921965,7.058336682776862,2.510313122253229,0.9878,1.6270334190226805,50,maximum_iterations,9878,7903
269,3,backward,robust,False,5.573953523420321,3.541108720291908,2.5914472442746623,0.9859,1.5438741011317259,50,maximum_iterations,9859,7888
270,2,backward,robust,False,1.384664432563607,3.313904929431323,2.1723309421511785,0.9943,1.5673677715357628,50,maximum_iterations,9943,7955
271,1,backward,robust,False,2.2264513503042194,6.127269629663927,1.8558892433815894,0.9995,1.218385309744021,50,maximum_iterations,9995,7996
272,0,backward,robust,True,2.4788550771003233,2.1717554945750663,1.6669419458421795,0.9998,1.1451914779585963,50,maximum_iterations,9998,7999
