frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
252,0.837746867,2.06093885,2.14013191,1.98174579,nan,nan,nan,0,0
253,0.78238159,1.61291467,1.7235983,1.50223105,4.13870485,5.61792394,nan,0,0
254,0.802904326,1.72006036,1.82462891,1.61549182,1.64437541,2.3823823,nan,0,0
255,0.794991814,2.63657033,2.89604473,2.37709592,175.306294,5.52942792,0.0193320786,1,1
256,0.712280633,2.58794493,2.97949543,2.19639443,176.18928,11.6196528,0.020200692,1,1
257,0.754337555,2.73047764,3.1023683,2.35858698,3.28778552,0.612905043,nan,0,0
258,0.583421714,2.79899756,3.23792388,2.36007125,21.4582357,10.3469506,nan,0,0
259,0.712015425,2.43775059,2.89630358,1.9791976,4.89704734,4.51670434,nan,0,0
260,0.523438774,4.54793436,6.22213896,2.87372975,5.29883107,53.848034,nan,0,0
261,0.714714478,2.61476254,3.0175498,2.21197528,9.87237938,53.8409042,nan,0,0
262,0.709941026,2.51479287,2.85465002,2.17493573,7.01539365,1.80719978,nan,0,0
263,0.785865926,2.69813883,2.96754582,2.42873184,7.49479169,4.38018602,nan,0,0
264,0.691873178,2.68725685,3.01727235,2.35724135,2.2373186,10.7629317,nan,0,0
265,0.720238347,2.59380284,2.99553229,2.19207339,2.54984696,3.58444799,nan,0,0
266,0.775440364,2.34282371,2.70444073,1.98120669,3.49397932,10.2534294,nan,0,0
267,0.73687911,2.3818123,2.89886213,1.86476247,1.76200988,5.70886006,nan,0,0
268,0.764045184,2.11381269,2.21897714,2.00864824,5.81198714,6.47767274,nan,0,0
269,0.728429896,2.14665639,2.3324066,1.96090618,6.46142864,6.50160862,nan,0,0
270,0.700422117,1.84652673,1.88533497,1.80771849,6.65308197,4.33525699,nan,0,0
271,0.810642218,1.54419416,1.56790303,1.52048529,1.94265943,3.56706633,nan,0,0
272,0.788117329,1.37269812,1.41685698,1.32853926,2.55859375,6.15843987,nan,0,0
