frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
252,0.820867414,2.04007454,2.11452036,1.96562872,nan,nan,nan,0,0
253,0.794572485,1.65446329,1.76597234,1.54295424,4.1585195,4.58932688,nan,0,0
254,0.807305778,1.7303968,1.82039339,1.64040021,2.8242851,3.89194803,nan,0,0
255,0.795027171,2.69887778,2.91292341,2.48483216,4.14464901,5.52205166,nan,0,0
256,0.741158411,2.89318139,3.18318619,2.6031766,3.46419838,6.94089787,nan,0,0
257,0.709066227,2.80488757,3.08865024,2.5211249,3.88804783,3.79713195,nan,0,0
258,0.635428375,3.00984501,3.46148742,2.5582026,9.39165242,6.33763111,nan,0,0
259,0.694953844,6.06649896,6.81416417,5.31883375,7.33984688,9.37714428,nan,0,0
260,0.56003187,12.6125522,14.8509661,10.3741384,14.9655878,15.5784247,nan,0,0
261,0.696993496,5.78883228,6.5056014,5.07206316,15.2836304,16.564767,nan,0,0
262,0.728108458,2.62375573,2.98012406,2.26738741,5.96849156,11.1241772,nan,0,0
263,0.746611644,2.77238252,2.92259713,2.62216791,3.18268636,3.57982653,nan,0,0
264,0.701503775,2.84071797,3.02711295,2.654323,2.76566825,5.84173932,nan,0,0
265,0.721919394,2.88258735,3.0943855,2.67078921,0.682239831,2.61113432,nan,0,0
266,0.772008217,2.75085358,3.09360575,2.40810141,2.60391338,4.45617078,nan,0,0
267,0.77603472,2.46410896,2.80047956,2.12773836,0.969492093,1.43968295,nan,0,0
268,0.752506875,2.46839865,2.50368247,2.43311483,3.36707782,3.56549985,nan,0,0
269,0.735440019,2.18001063,2.34213276,2.0178885,3.08543967,4.833637,nan,0,0
270,0.73753007,1.96292942,1.97137806,1.95448078,3.41427619,2.62592246,nan,0,0
271,0.785483054,1.70715526,1.73907227,1.67523825,2.7916049,1.01225901,nan,0,0
272,0.793032973,1.49485003,1.50479907,1.48490099,1.60240291,3.7023592,nan,0,0
