frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
5,0.630406481,7.52556884,10.7337021,4.31743563,nan,nan,nan,0,0
6,0.84817588,1.88056072,2.70759033,1.05353112,178.012045,11.7303565,0.00425432326,1,1
7,0.838057325,1.35534914,1.67078227,1.039916,47.25399,2.20314368,nan,0,0
8,0.641601562,1.28916914,1.6509079,0.927430381,25.6531824,4.63952145,nan,0,0
9,0.670660391,3.5793862,5.40827981,1.75049259,35.4632907,8.36413512,nan,0,0
10,0.837374962,1.70324646,2.51276463,0.893728293,14.4723085,8.68453146,nan,0,0
11,0.835648879,2.42591406,3.77600523,1.07582288,29.0504158,12.212275,nan,0,0
12,0.880170508,1.32391923,1.92199752,0.72584095,10.8166073,4.11583591,nan,0,0
13,0.886067813,4.35803586,6.45354011,2.26253161,5.71909755,0.615134007,nan,0,0
14,0.923377257,1.3742291,1.85211161,0.896346596,15.6543719,1.44920082,nan,0,0
15,0.877564103,1.23595039,1.29744156,1.17445922,29.1445493,7.87478058,nan,0,0
16,0.871532847,0.952405195,1.31658063,0.588229764,70.5993638,1.42436425,0.00419318344,1,1
17,0.854228313,0.954123738,1.26227131,0.645976167,17.3293488,6.19100542,nan,0,0
18,0.919491525,0.705649323,0.884467163,0.526831482,1.57488885,1.33113929,nan,0,0
19,0.897132675,1.43414038,2.14248566,0.725795099,79.5826008,1.43320186,0.00425343916,1,1
20,0.816752344,2.09576996,3.03743429,1.15410562,90.0151774,6.90420049,0.00436102849,1,1
21,0.784159613,2.27478376,3.38829989,1.16126763,49.3973989,5.06540086,nan,0,0
22,0.908191403,0.635093543,0.643741023,0.626446062,23.2234064,2.80517656,nan,0,0
23,0.744213302,5.08335865,6.92478927,3.24192804,129.276625,5.86740831,0.00419581645,1,1
24,0.952147821,0.827358131,1.12273737,0.531978889,164.037876,9.42267156,0.00430924041,1,1
25,0.71896132,3.68701929,5.59256693,1.78147166,39.5173055,8.86382075,nan,0,0
