frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
5,1,0,4.956722038255403,1.0,1.208499653561714
6,1,0,1.5831973918266775,1.0,0.8545015593146623
7,1,0,1.3760768462477337,1.0,1.1364084001354322
8,1,0,1.2856017997831033,1.0,1.0262695205743566
9,1,0,2.411846451081003,1.0,0.7353513764587915
10,1,0,1.4654157977181994,1.0,0.7249473761956957
11,1,0,1.9936313689114096,1.0,0.9309890639694063
12,1,0,1.1692299455165294,1.0,0.6736945942450733
13,1,0,2.690699322768576,1.0,0.6061571388500668
14,1,0,1.3588874475728876,1.0,0.9616127733883036
15,1,0,1.24551163280513,1.0,1.2907355619191807
16,1,0,0.9417936070982519,1.0,0.6818860756794419
17,1,0,0.8800074781011521,1.0,0.6655016476450689
18,1,0,0.7244239671291597,1.0,0.6134582011828139
19,1,0,1.2740068883997824,1.0,0.6746796704279536
20,1,0,1.819531527980664,1.0,1.0670715508280366
21,1,0,1.6960152181727937,1.0,0.6257743884787831
22,1,0,0.6094198975436689,1.0,0.6627736355521663
23,1,0,3.0510155233018095,1.0,0.6579416786968146
24,1,0,0.8499097890077215,1.0,0.6271286877535219
25,1,0,2.4586569308727433,1.0,0.5477542008852597
