frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
5,0.877679291,4.94265978,8.81740896,1.06791059,nan,nan,nan,0,0
6,0.765851449,1.55574825,2.39318165,0.718314853,0,4.36330017,nan,0,0
7,0.786154795,1.35005694,1.66056127,1.03955262,0,2.96665168,nan,0,0
8,0.581189711,1.25715186,1.61185723,0.902446493,0,4.6880432,nan,0,0
9,0.942538171,2.37820024,4.16078972,0.595610761,0,6.37045506,nan,0,0
10,0.945911549,1.43208363,2.23081459,0.633352671,0,8.59484637,nan,0,0
11,0.919836066,1.96155662,3.24752771,0.675585534,0,12.2332583,nan,0,0
12,0.936356275,1.13174489,1.72084499,0.54264479,0,3.96693878,nan,0,0
13,0.663029794,2.64833774,4.79454793,0.502127554,0,3.76878954,nan,0,0
14,0.923613364,1.33814676,1.80563063,0.870662887,0,3.36091885,nan,0,0
15,0.880326818,1.22702996,1.29589782,1.1581621,0,7.81217671,nan,0,0
16,0.858978477,0.903420468,1.26750375,0.539337186,0,1.29401603,nan,0,0
17,0.891197462,0.843585326,1.14871963,0.538451019,0,5.97885205,nan,0,0
18,0.924783815,0.68173942,0.860939239,0.502539602,0,0.795316844,nan,0,0
19,0.899064818,1.23624557,1.92905377,0.543437371,0,1.30065743,nan,0,0
20,0.927168184,1.79366415,2.70401997,0.883308324,0,6.90017772,nan,0,0
21,0.912204534,1.66085463,2.76065863,0.561050629,0,4.97847417,nan,0,0
22,0.91398374,0.573267747,0.591771344,0.554764151,0,1.99976312,nan,0,0
23,0.947033561,3.01966913,5.47489228,0.56444598,0,10.9273001,nan,0,0
24,0.95362776,0.810804394,1.10427929,0.517329498,0,3.22652643,nan,0,0
25,0.898983949,2.41954592,4.34545529,0.49363654,0,9.92015112,nan,0,0
