frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
5,0.882836422,5.06329646,9.02482248,1.10177044,nan,nan,nan,0,0
6,0.770346618,2.25647901,3.07655559,1.43640244,0,2.80539365,nan,0,0
7,0.676892202,1.71722414,2.09810932,1.33633896,0,1.65435345,nan,0,0
8,0.722884474,1.62980889,2.03216779,1.22744998,0,1.39384913,nan,0,0
9,0.850425367,3.38538792,5.17888675,1.59188908,0,7.73756774,nan,0,0
10,0.93788418,3.45530858,4.14998944,2.76062771,0,1.95870536,nan,0,0
11,0.941359033,3.96538505,5.35254087,2.57822924,0,1.94457979,nan,0,0
12,0.866656196,1.9348747,2.54946144,1.32028797,0,3.7037454,nan,0,0
13,0.809603404,3.30716672,5.46690127,1.14743216,0,3.13454909,nan,0,0
14,0.829506671,1.880979,2.4307332,1.3312248,0,2.67576646,nan,0,0
15,0.892386765,1.35317104,1.4736131,1.23272897,0,4.33117988,nan,0,0
16,0.897431703,1.21068635,1.5954241,0.825948606,0,1.12800168,nan,0,0
17,0.90444837,1.33789601,1.64106493,1.03472708,0,3.14089354,nan,0,0
18,0.918580036,0.71244165,0.890176221,0.534707079,0,0.800035657,nan,0,0
19,0.921568627,2.07678825,2.81072625,1.34285026,0,1.52702108,nan,0,0
20,0.927533893,2.49976252,3.47270594,1.5268191,0,1.45663142,nan,0,0
21,0.915445321,1.69245118,2.79570877,0.589193584,0,1.57947992,nan,0,0
22,0.926496836,1.53530929,1.56738049,1.50323809,0,0.374299549,nan,0,0
23,0.949259021,3.78305472,6.00914239,1.55696704,0,5.32687029,nan,0,0
24,0.948227173,0.948448201,1.25164447,0.645251935,0,6.98081655,nan,0,0
25,0.900884956,2.42646323,4.35179758,0.50112888,0,9.2644407,nan,0,0
