frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
5,0.857984397,4.9385352,8.85404332,1.02302707,nan,nan,nan,0,0
6,0.814843508,1.56849831,2.42997877,0.707017858,0,4.56796645,nan,0,0
7,0.844118585,1.3546499,1.68794952,1.02135028,0,3.10575312,nan,0,0
8,0.622472837,1.27336705,1.64757064,0.899163454,0,4.80294056,nan,0,0
9,0.939334317,2.37478647,4.16916525,0.580407703,0,6.1404245,nan,0,0
10,0.922605002,1.43178095,2.23659212,0.626969776,0,8.57756632,nan,0,0
11,0.928948236,1.94578,3.25698747,0.634572527,0,12.2730819,nan,0,0
12,0.925967742,1.11156106,1.71281366,0.510308471,0,3.98141369,nan,0,0
13,0.682416183,2.63626289,4.77880055,0.493725237,0,3.97056178,nan,0,0
14,0.940840007,1.33657663,1.81000951,0.863143752,0,3.35967733,nan,0,0
15,0.883327969,1.22613208,1.33608159,1.11618257,0,7.60754187,nan,0,0
16,0.8697411,0.893303104,1.27197901,0.514627198,0,1.46574634,nan,0,0
17,0.885551691,0.851099517,1.16883424,0.533364794,0,6.02662899,nan,0,0
18,0.920898438,0.690780689,0.877824132,0.503737247,0,0.777873495,nan,0,0
19,0.909090909,1.22944241,1.93242705,0.52645776,0,1.35190392,nan,0,0
20,0.900662252,1.87316393,2.81307935,0.933248513,0,5.9038236,nan,0,0
21,0.9008,1.66108435,2.76106148,0.561107213,0,4.08359136,nan,0,0
22,0.911850649,0.574003842,0.605960598,0.542047087,0,2.11983983,nan,0,0
23,0.94747732,3.02670431,5.50003611,0.553372513,0,11.0362886,nan,0,0
24,0.945920453,0.803655796,1.10340507,0.503906527,0,3.12976125,nan,0,0
25,0.893433011,2.42221049,4.34832725,0.496093725,0,9.7511327,nan,0,0
