frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
5,0,forward,robust,True,0.0,0.8581085638942005,8.896218332301835,0.844,0.8664525216327688,21,converged,8440,6752
6,1,forward,robust,False,0.0,4.567966451332096,2.5021635085479463,0.9746261338563373,0.6040195004692136,50,maximum_iterations,7951,6361
7,2,forward,robust,False,0.0,3.1057531206223787,1.7373439957430286,0.9938848120969536,0.9572927628088703,27,converged,8939,7152
8,3,forward,robust,False,0.0,4.80294055989884,1.7041699155423953,0.99363516272367,0.8211838398051929,44,converged,8274,6620
9,4,forward,robust,False,0.0,6.14042450333551,4.247582545962858,0.9652153881594103,0.4499823436949578,50,maximum_iterations,8380,6704
10,5,forward,robust,False,0.0,8.577566318712174,2.3070567707428746,0.9823190262652146,0.5232960754390057,48,converged,7667,6134
11,6,forward,robust,False,0.0,12.27308193889709,3.341454755915993,0.9758026989297348,0.49271141788227535,37,converged,8388,6711
12,7,forward,robust,False,0.0,3.9814136888348797,1.8046735086498424,0.9877186453293636,0.3781127306910265,39,converged,7962,6370
13,8,forward,robust,False,0.0,3.9705617755128104,4.8685444724775975,0.9583489213118843,0.3930822228322281,49,converged,7685,6148
14,9,forward,robust,False,0.0,3.359677332258039,1.8620488294718982,0.9899627833540092,0.7880753922304412,50,maximum_iterations,8778,7023
15,10,forward,robust,False,0.0,7.60754186721749,1.3823090774579392,0.999679555650502,0.9812983026046536,29,converged,9359,7488
16,11,forward,robust,False,0.0,1.4657463405024724,1.361410384873821,0.9922116454444307,0.3920063721794069,33,converged,8026,6421
17,12,forward,robust,False,0.0,6.026628989309767,1.2546119798672024,0.994335736354274,0.43138486697565787,50,maximum_iterations,7724,6180
18,13,forward,robust,False,0.0,0.7778734946516731,0.9700267881429053,0.9967277486910995,0.39740157812778326,22,converged,7615,6092
19,14,forward,robust,False,0.0,1.35190392315097,2.020196949740745,0.9853220296090093,0.4087383607823937,25,converged,7787,6230
20,15,forward,robust,False,0.0,5.90382359764095,2.8694009535287917,0.9824541544034413,0.835618372111962,26,converged,8679,6944
21,16,forward,robust,False,0.0,4.083591360993132,2.8374241790498655,0.977657935285054,0.48720365561052326,30,converged,7614,6092
22,17,forward,robust,False,0.0,2.1198398297425194,0.6873346495209014,0.999610642439974,0.44128297438939074,29,converged,7702,6162
23,18,forward,robust,False,0.0,11.036288553391833,5.573596985446421,0.8630106070864365,0.4449646071625952,49,converged,7648,6119
24,19,forward,robust,False,0.0,3.1297612533326116,1.1924605658258578,0.9898463593854375,0.41107000680067046,45,converged,7409,5928
25,20,forward,robust,False,0.0,9.75113269732786,4.427661611800743,0.9585498210368317,0.46435843623941714,43,converged,8302,6642
