frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
5,20,backward,sequential,False,0.0,4.36157060378113,8.855024071559326,1.0,1.2084997052612014,,open3d_or_translation_icp,,
6,19,backward,sequential,False,0.0,2.9665483649651323,2.459537821916304,1.0,0.8545015593146623,,open3d_or_translation_icp,,
7,18,backward,sequential,False,0.0,4.687980206256141,1.7057375741424352,1.0,1.1364084404888004,,open3d_or_translation_icp,,
8,17,backward,sequential,False,0.0,6.370301527262852,1.665361938652337,1.0,1.0262695064057163,,open3d_or_translation_icp,,
9,16,backward,sequential,False,0.0,8.588167607329773,4.234176571888426,1.0,0.7353513764587915,,open3d_or_translation_icp,,
10,15,backward,sequential,False,0.0,12.22646674221224,2.298896879683749,1.0,0.7249544985849735,,open3d_or_translation_icp,,
11,14,backward,sequential,False,0.0,3.9669387831286302,3.320616026909683,1.0,0.9309890639694063,,open3d_or_translation_icp,,
12,13,backward,sequential,False,0.0,3.7687895414541526,1.8029369703468203,1.0,0.6736945942450733,,open3d_or_translation_icp,,
13,12,backward,sequential,False,0.0,3.3604665722905427,4.882276175339632,1.0,0.6061571388500668,,open3d_or_translation_icp,,
14,11,backward,sequential,False,0.0,7.811172576855391,1.8554140660914498,1.0,0.9616127430497202,,open3d_or_translation_icp,,
15,10,backward,sequential,False,0.0,1.2936279692477044,1.3364310731725342,1.0,1.290735583982406,,open3d_or_translation_icp,,
16,9,backward,sequential,False,0.0,5.977630263867331,1.3498669677622612,1.0,0.6818860942480877,,open3d_or_translation_icp,,
17,8,backward,sequential,False,0.0,0.7952620095717001,1.2303176992028013,1.0,0.6655011059064275,,open3d_or_translation_icp,,
18,7,backward,sequential,False,0.0,1.3004826556441962,0.9481846934705486,1.0,0.6134584846829388,,open3d_or_translation_icp,,
19,6,backward,sequential,False,0.0,6.90015880415514,2.0134243821922393,1.0,0.6746796704279536,,open3d_or_translation_icp,,
20,5,backward,sequential,False,0.0,4.978446305034252,2.7631353366490843,1.0,1.067071553335669,,open3d_or_translation_icp,,
21,4,backward,sequential,False,0.0,1.998613603950355,2.833428843844963,1.0,0.6257743884787831,,open3d_or_translation_icp,,
22,3,backward,sequential,False,0.0,10.926763798701701,0.667428269018923,1.0,0.6627727732585248,,open3d_or_translation_icp,,
23,2,backward,sequential,False,0.0,3.2258469377021814,5.5440864967168855,1.0,0.657941637594404,,open3d_or_translation_icp,,
24,1,backward,sequential,False,0.0,9.92015111618227,1.1887018176092463,1.0,0.6271286877535219,,open3d_or_translation_icp,,
25,0,backward,sequential,True,0.0,1.1102230246251565e-14,4.424693826740482,1.0,0.5477542008852596,,open3d_or_translation_icp,,
