frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
0,0.908532537,1.91487819,2.0441961,1.78556028,nan,nan,nan,0,0
1,0.893941909,1.34523294,1.52365135,1.16681452,0,1.86117699,nan,0,0
2,0.890169709,1.32556495,1.79085342,0.860276487,0,5.13220974,nan,0,0
3,0.895816376,1.75034501,2.82152403,0.679166001,0,2.0953978,nan,0,0
4,0.856021353,1.32713467,2.00722339,0.647045946,0,3.48997082,nan,0,0
5,0.857984397,4.9385352,8.85404332,1.02302707,0,7.30760789,nan,0,0
6,0.814843508,1.56849831,2.42997877,0.707017858,0,4.56796645,nan,0,0
7,0.844118585,1.3546499,1.68794952,1.02135028,0,3.10575312,nan,0,0
8,0.622472837,1.27336705,1.64757064,0.899163454,0,4.80294056,nan,0,0
9,0.939334317,2.37478647,4.16916525,0.580407703,0,6.1404245,nan,0,0
10,0.922605002,1.43178095,2.23659212,0.626969776,0,8.57756632,nan,0,0
11,0.928948236,1.94578,3.25698747,0.634572527,0,12.2730819,nan,0,0
12,0.925967742,1.11156106,1.71281366,0.510308471,0,3.98141369,nan,0,0
13,0.682416183,2.63626289,4.77880055,0.493725237,0,3.97056178,nan,0,0
14,0.940840007,1.33657663,1.81000951,0.863143752,0,3.35967733,nan,0,0
15,0.883327969,1.22613208,1.33608159,1.11618257,0,7.60754187,nan,0,0
16,0.8697411,0.893303104,1.27197901,0.514627198,0,1.46574634,nan,0,0
17,0.885551691,0.851099517,1.16883424,0.533364794,0,6.02662899,nan,0,0
18,0.920898438,0.690780689,0.877824132,0.503737247,0,0.777873495,nan,0,0
19,0.909090909,1.22944241,1.93242705,0.52645776,0,1.35190392,nan,0,0
20,0.900662252,1.87316393,2.81307935,0.933248513,0,5.9038236,nan,0,0
21,0.9008,1.66108435,2.76106148,0.561107213,0,4.08359136,nan,0,0
22,0.911850649,0.574003842,0.605960598,0.542047087,0,2.11983983,nan,0,0
23,0.94747732,3.02670431,5.50003611,0.553372513,0,11.0362886,nan,0,0
24,0.945920453,0.803655796,1.10340507,0.503906527,0,3.12976125,nan,0,0
25,0.893433011,2.42221049,4.34832725,0.496093725,0,9.7511327,nan,0,0
26,0.930892449,0.545568428,0.639545527,0.451591329,0,4.31733518,nan,0,0
27,0.707581717,2.78033556,5.11511081,0.445560305,0,6.46268734,nan,0,0
28,0.934155094,1.4258885,2.41672906,0.43504795,0,3.45386798,nan,0,0
29,0.911231884,1.03566521,1.51206377,0.559266653,0,4.77771534,nan,0,0
30,0.950996804,0.783968628,1.11209381,0.455843444,0,0.379477696,nan,0,0
31,0.92301662,0.523112285,0.56456796,0.48165661,0,8.01779133,nan,0,0
32,0.907910812,0.682041361,0.843121759,0.520960964,0,4.79444295,nan,0,0
33,0.956888472,0.687687287,0.695726412,0.679648163,0,1.91438407,nan,0,0
34,0.676514636,0.952560574,1.16154732,0.743573831,0,3.58068568,nan,0,0
35,0.927943485,1.07600418,1.14066587,1.01134248,0,3.44072699,nan,0,0
36,0.926345609,0.816767567,0.85658267,0.776952464,0,1.51453817,nan,0,0
37,0.945451654,0.890445502,0.935454937,0.845436067,0,0.754029614,nan,0,0
38,0.901390842,1.01737028,1.06904443,0.96569613,0,1.16592386,nan,0,0
39,0.921939587,1.34523956,1.43518328,1.25529583,0,2.74485065,nan,0,0
40,0.881708653,1.69126159,1.93339626,1.44912693,0,0.759824129,nan,0,0
41,0.87804878,1.57181376,1.64900524,1.49462227,0,1.00288516,nan,0,0
42,0.913404697,1.53124221,1.87147622,1.19100821,0,0.98707345,nan,0,0
43,0.911941717,1.24519964,1.33852105,1.15187823,0,2.26639603,nan,0,0
44,0.758846658,1.14731874,1.22608024,1.06855723,0,2.3536506,nan,0,0
45,0.836050446,1.18776443,1.22588941,1.14963946,0,3.09601393,nan,0,0
46,0.941860465,0.928907662,1.00306754,0.854747784,0,2.04328522,nan,0,0
47,0.94035311,1.21867192,1.32317207,1.11417177,0,0.514291188,nan,0,0
48,0.911306809,1.31219004,1.34209081,1.28228927,0,1.98439115,nan,0,0
49,0.916075091,1.29492716,1.32218425,1.26767007,0,0.20656083,nan,0,0
50,0.930291508,1.08503304,1.13056714,1.03949893,0,1.32712429,nan,0,0
51,0.951709609,1.10258831,1.11592236,1.08925425,0,0.570217894,nan,0,0
52,0.950135848,0.867560877,0.872368893,0.862752862,0,3.09214105,nan,0,0
53,0.914501653,1.21013465,1.24444567,1.17582363,0,4.64718371,nan,0,0
54,0.922685332,0.933167146,0.937030958,0.929303335,0,0.634569293,nan,0,0
55,0.871175271,0.652507645,0.647347491,0.657667799,0,1.16817987,nan,0,0
56,0.928119063,1.06088866,1.07609268,1.04568464,0,2.00677779,nan,0,0
57,0.887002986,0.776225307,0.791458326,0.760992287,0,0.537133977,nan,0,0
58,0.909231006,1.04046893,1.06025219,1.02068566,0,4.19442675,nan,0,0
59,0.770508674,1.07897723,1.09874116,1.05921329,0,4.16210393,nan,0,0
60,0.940239044,1.23113017,1.24984653,1.21241381,0,2.88108154,nan,0,0
61,0.9084375,1.14123432,1.1640844,1.11838424,0,1.15952326,nan,0,0
