frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
0,0.903718459,1.9131402,2.02249091,1.80378949,nan,nan,nan,0,0
1,0.905400928,1.70308176,1.97158141,1.43458211,0,0.942121237,nan,0,0
2,0.894668821,1.73600321,2.20410086,1.26790556,0,1.55973446,nan,0,0
3,0.923253526,2.31290697,3.39085426,1.23495967,0,3.80824164,nan,0,0
4,0.904746371,2.48280935,3.16638124,1.79923745,0,1.75969413,nan,0,0
5,0.890222436,6.15291785,10.3168727,1.98896297,0,1.34326057,nan,0,0
6,0.893108528,2.44242337,3.27542365,1.60942309,0,2.30293741,nan,0,0
7,0.727111374,1.73892888,2.13825867,1.33959909,0,2.63939747,nan,0,0
8,0.773559219,1.8152359,2.24933404,1.38113776,0,1.35684694,nan,0,0
9,0.892845837,3.44199465,5.24516081,1.63882848,0,7.64228238,nan,0,0
10,0.899350135,3.39563983,4.08629145,2.70498821,0,1.90160145,nan,0,0
11,0.915445321,4.0830294,5.48867197,2.67738683,0,1.9518227,nan,0,0
12,0.89960032,1.80880571,2.39863836,1.21897306,0,3.70940086,nan,0,0
13,0.833487512,3.4281296,5.59174602,1.26451318,0,3.1342119,nan,0,0
14,0.876054097,1.79747118,2.31691219,1.27803018,0,2.66018901,nan,0,0
15,0.89550797,1.4004865,1.56392164,1.23705135,0,4.35324867,nan,0,0
16,0.908223684,1.34185802,1.75796804,0.925747994,0,1.10111086,nan,0,0
17,0.903614458,1.29182058,1.59652676,0.987114393,0,3.05924697,nan,0,0
18,0.916734428,0.695092871,0.879892111,0.51029363,0,0.918522367,nan,0,0
19,0.92229072,1.99925606,2.73133132,1.26718081,0,1.26493706,nan,0,0
20,0.920109307,2.61097729,3.6065352,1.61541938,0,1.34784063,nan,0,0
21,0.913490915,1.6623231,2.76329979,0.561346405,0,1.50534134,nan,0,0
22,0.929847353,1.65331764,1.69878592,1.60784936,0,0.911052066,nan,0,0
23,0.942082464,3.74461294,5.97597977,1.51324611,0,5.26565713,nan,0,0
24,0.942635659,1.97126424,2.29327494,1.64925353,0,9.17158731,nan,0,0
25,0.926217115,3.41635108,5.32920743,1.50349474,0,3.88349912,nan,0,0
26,0.867382985,0.93365399,1.04283745,0.824470533,0,1.56810696,nan,0,0
27,0.873048907,3.5144707,5.83561519,1.19332621,0,5.11772163,nan,0,0
28,0.889918008,1.75934131,2.766954,0.751728618,0,0.508441908,nan,0,0
29,0.937356057,1.09339849,1.56546675,0.621330219,0,3.81103274,nan,0,0
30,0.943485566,1.42214187,1.76197911,1.08230464,0,1.84376426,nan,0,0
31,0.926988064,1.90767882,1.98434697,1.83101068,0,2.60154952,nan,0,0
32,0.933739647,1.48666738,1.67548881,1.29784595,0,1.02927214,nan,0,0
33,0.887120985,0.962848802,0.99364112,0.932056483,0,1.80960531,nan,0,0
34,0.818074598,1.40597003,1.64593835,1.1660017,0,2.03820736,nan,0,0
35,0.854897219,1.18363113,1.27057639,1.09668586,0,1.44434992,nan,0,0
36,0.926350503,0.830030004,0.86894963,0.791110377,0,1.95545149,nan,0,0
37,0.93104539,0.904869353,0.956998958,0.852739748,0,0.974438058,nan,0,0
38,0.930387794,1.01222464,1.04121787,0.983231401,0,1.52031827,nan,0,0
39,0.900251731,1.36893087,1.49676033,1.2411014,0,1.72342648,nan,0,0
40,0.905184715,1.68774883,1.9213897,1.45410795,0,0.984569261,nan,0,0
41,0.89556012,1.56886734,1.63014898,1.50758571,0,0.677057425,nan,0,0
42,0.897140149,1.58850263,1.96782714,1.20917812,0,0.585743337,nan,0,0
43,0.875369535,1.28865705,1.36220221,1.2151119,0,1.35789723,nan,0,0
44,0.844941068,1.29085425,1.41433228,1.16737623,0,0.419798458,nan,0,0
45,0.868494858,1.22640048,1.2835245,1.16927646,0,0.677186304,nan,0,0
46,0.919835884,0.95232951,1.03546977,0.869189251,0,1.20858436,nan,0,0
47,0.935940232,1.24388021,1.35633937,1.13142106,0,1.03865892,nan,0,0
48,0.911746231,1.31726848,1.36022584,1.27431113,0,1.09577808,nan,0,0
49,0.926484598,1.2936615,1.31643836,1.27088464,0,0.364275737,nan,0,0
50,0.931439454,1.08821986,1.13007451,1.04636521,0,0.811590462,nan,0,0
51,0.955508817,1.10508425,1.11565888,1.09450962,0,1.9927666,nan,0,0
52,0.943865277,1.29211302,1.35287035,1.23135569,0,0.552938321,nan,0,0
53,0.924665091,1.28699565,1.34704279,1.22694852,0,1.54620637,nan,0,0
54,0.903449362,0.971116839,0.982319887,0.95991379,0,1.92910576,nan,0,0
55,0.926297075,0.698828713,0.698979913,0.698677513,0,1.17363048,nan,0,0
56,0.903478533,1.10727875,1.13855698,1.07600052,0,0.832051281,nan,0,0
57,0.947546804,1.10695834,1.13978153,1.07413516,0,2.02029974,nan,0,0
58,0.859024833,1.62558465,1.75954617,1.49162313,0,1.04834971,nan,0,0
59,0.85817234,1.25174681,1.31697551,1.18651811,0,0.462756877,nan,0,0
60,0.884597487,1.32824857,1.38954901,1.26694813,0,1.31715662,nan,0,0
61,0.953095086,1.15841305,1.20476821,1.11205789,0,1.79853841,nan,0,0
62,0.904435798,1.5380719,1.63183234,1.44431146,0,1.36480903,nan,0,0
63,0.870111946,1.12487133,1.16521786,1.0845248,0,1.326571,nan,0,0
64,0.812564671,1.33188482,1.3886797,1.27508993,0,1.39308207,nan,0,0
65,0.868488215,1.71850303,1.86506892,1.57193714,0,1.4234369,nan,0,0
66,0.888429119,1.58985366,1.6373703,1.54233703,0,0.763366688,nan,0,0
67,0.879587504,1.885007,1.97610864,1.79390536,0,1.90707293,nan,0,0
68,0.876966881,1.6450851,1.69014117,1.60002903,0,1.69189506,nan,0,0
69,0.924784217,1.53659952,1.59759042,1.47560861,0,1.55602199,nan,0,0
70,0.912808178,1.76766121,1.83946539,1.69585702,0,1.36020056,nan,0,0
71,0.921409214,1.85601634,1.91207083,1.79996186,0,1.08341948,nan,0,0
72,0.877027426,1.71172452,1.79735263,1.6260964,0,1.0030556,nan,0,0
73,0.830697129,1.85671734,1.90263039,1.81080428,0,2.10384981,nan,0,0
74,0.840790843,1.67903908,1.74041889,1.61765927,0,1.71586314,nan,0,0
75,0.906605223,1.83270469,1.91702864,1.74838075,0,1.57715479,nan,0,0
76,0.934243176,1.61515525,1.65580445,1.57450606,0,1.53810757,nan,0,0
77,0.898520085,1.78362006,1.84328731,1.72395282,0,0.399570279,nan,0,0
78,0.845706619,1.59947702,1.70352743,1.49542661,0,0.596877308,nan,0,0
79,0.856076441,1.77383064,1.82847515,1.71918613,0,0.77671909,nan,0,0
80,0.912117576,1.93686011,1.96254928,1.91117093,0,1.89915349,nan,0,0
81,0.898019509,1.87617148,1.89136842,1.86097454,0,0.820727497,nan,0,0
82,0.90960961,1.89807276,1.94590563,1.85023989,0,1.34181727,nan,0,0
83,0.868055556,1.98260891,2.13500323,1.83021458,0,1.27964152,nan,0,0
84,0.885462555,1.74758471,1.78609898,1.70907045,0,1.38827853,nan,0,0
85,0.893216825,1.796609,1.96374182,1.62947619,0,1.17764563,nan,0,0
86,0.828021901,2.04259406,2.05667222,2.0285159,0,0.945369128,nan,0,0
87,0.861473745,2.0323389,2.18524977,1.87942803,0,0.572755591,nan,0,0
88,0.845530807,1.73094465,1.88818091,1.57370839,0,1.26521649,nan,0,0
89,0.826217765,1.96069447,2.07835608,1.84303285,0,1.29513479,nan,0,0
90,0.786995516,1.66915506,1.74084079,1.59746933,0,0.708074819,nan,0,0
91,0.799860042,1.65866985,1.71460716,1.60273254,0,1.30781838,nan,0,0
92,0.820310335,1.6715844,1.71495002,1.62821877,0,2.00738121,nan,0,0
