frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
320,0.840032284,1.92293284,1.92386892,1.92199676,nan,nan,nan,0,0
321,0.843695062,2.03691309,2.08212592,1.99170026,0,4.72159817,nan,0,0
322,0.859217693,2.37844827,2.4042451,2.35265144,0,2.70430048,nan,0,0
323,0.825732899,2.60290816,2.6274661,2.57835023,0,3.0516316,nan,0,0
324,0.81114197,2.43058039,2.79199403,2.06916675,0,5.19084584,nan,0,0
325,0.782491689,2.95510258,3.05869069,2.85151446,0,2.22245359,nan,0,0
326,0.763819095,2.69034934,2.84581268,2.53488601,0,6.16090174,nan,0,0
327,0.833711394,2.0461893,2.11025385,1.98212475,0,3.5956841,nan,0,0
328,0.727646285,3.46063962,4.39889554,2.52238369,0,5.44029283,nan,0,0
329,0.68339895,3.45213846,5.00891146,1.89536547,0,4.46309959,nan,0,0
330,0.7737214,2.88399465,3.02725815,2.74073115,0,1.15947205,nan,0,0
331,0.78546832,2.75485744,2.93586948,2.57384539,0,5.29144079,nan,0,0
332,0.832627509,2.02647595,2.08130326,1.97164864,0,1.77500959,nan,0,0
333,0.849951969,2.02687274,2.05783279,1.99591268,0,3.67298093,nan,0,0
334,0.863593425,1.57767416,1.57948105,1.57586728,0,5.35959509,nan,0,0
335,0.830209895,1.93372912,1.95147937,1.91597888,0,4.94131916,nan,0,0
336,0.838946378,1.70365142,1.70710209,1.70020074,0,2.29426571,nan,0,0
337,0.820290402,2.48666228,2.6642136,2.30911095,0,3.58124011,nan,0,0
338,0.81253583,2.31088081,2.57477322,2.04698839,0,3.50963499,nan,0,0
339,0.852604062,2.63204128,2.85449528,2.40958729,0,2.03521925,nan,0,0
340,0.822068404,2.62707677,2.84599089,2.40816266,0,6.52625997,nan,0,0
