frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
320,0.836020639,1.9248683,1.9232989,1.92643771,nan,nan,nan,0,0
321,0.842256673,2.03793819,2.08244047,1.9934359,120.96744,4.68980317,0.00443951616,1,1
322,0.862660944,2.37883408,2.40440383,2.35326432,106.681494,2.64616283,0.00443178215,1,1
323,0.821509925,2.60261669,2.62872231,2.57651108,76.4847668,3.07531444,0.00425318599,1,1
324,0.807026144,2.4325051,2.79205358,2.07295662,103.900048,5.1485134,0.00437542587,1,1
325,0.780592053,2.95744949,3.05956628,2.85533271,24.0695085,2.2213983,nan,0,0
326,0.762360188,2.69441413,2.84595981,2.54286845,23.6094303,6.16285531,nan,0,0
327,0.829872623,2.04710188,2.10735724,1.98684653,80.3321915,3.60993783,0.00427052024,1,1
328,0.731731402,3.47035188,4.40199961,2.53870415,66.3514605,5.40627983,0.00417590533,1,1
329,0.684037482,3.46139161,5.01006503,1.91271819,6.10213746,4.46489737,nan,0,0
330,0.768390998,2.88761687,3.03012009,2.74511365,9.96954453,1.15274594,nan,0,0
331,0.786501377,2.75676586,2.93594714,2.57758458,119.822218,5.21535561,0.00453743471,1,1
332,0.828576689,2.02843086,2.08030904,1.97655268,162.2899,1.74182726,0.00425902583,1,1
333,0.847838617,2.03113556,2.05861988,2.00365123,172.11514,3.69413862,0.00428123312,1,1
334,0.857034796,1.57933072,1.57981602,1.57884543,176.044152,5.32466289,0.00428064857,1,1
335,0.823463268,1.93442639,1.95003484,1.91881794,31.8198417,4.92239907,nan,0,0
336,0.836124177,1.70829081,1.70810912,1.70847249,55.384728,2.2772072,nan,0,0
337,0.819758673,2.48879724,2.66362941,2.31396507,162.675496,3.57742429,0.00452230914,1,1
338,0.812726925,2.31431532,2.57538521,2.05324542,52.9057493,3.55375414,nan,0,0
339,0.852000804,2.63251214,2.85384779,2.41117649,173.348639,1.98376565,0.00428825548,1,1
340,0.825147748,2.62545171,2.844839,2.40606442,164.873679,6.53940957,0.00430894158,1,1
