frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
320,24,15,1.9377456648479812,1.0,1.9306218187510673
321,24,11,2.0470445845187264,1.0,1.9964722260100178
322,24,6,2.3867965365436006,1.0,2.3558011626097457
323,24,11,2.60690422459853,1.0,2.584230477869795
324,24,7,2.4381886758107068,1.0,2.134187348945047
325,24,7,2.953269558876629,1.0,2.867522786583729
326,24,11,2.6941567856372113,1.0,2.5909809040669476
327,24,15,2.052619647088069,1.0,2.0331189312539606
328,24,14,3.4749009127330455,1.0,2.6915343679492105
329,24,14,3.270024743043006,1.0,1.9294391180535146
330,24,6,2.890803167083686,1.0,2.7611950658518984
331,24,7,2.7664797754606707,1.0,2.582080349238585
332,24,6,2.0333813349026855,1.0,1.9950302361385008
333,24,7,2.031957137212431,1.0,2.0071887735697636
334,24,15,1.5883849884849774,1.0,1.5866580550437055
335,24,14,1.9410371858774766,1.0,1.93622369572021
336,24,18,1.7127137486271489,1.0,1.7180264893509218
337,24,14,2.486287519051945,1.0,2.3353868598889886
338,24,7,2.3108192284574316,1.0,2.0718232164040886
339,24,19,2.6307562271942184,1.0,2.464502764485395
340,24,11,2.633433853216977,1.0,2.4176350534759603
