frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
320,0.839683565,1.93478891,1.94893806,1.92063977,nan,nan,nan,0,0
321,0.841457568,2.03740253,2.1071647,1.96764036,0,3.04464128,nan,0,0
322,0.862165731,2.37690597,2.41139274,2.3424192,0,2.29663516,nan,0,0
323,0.831644328,2.60748714,2.6509106,2.56406369,0,3.70649931,nan,0,0
324,0.819771242,2.4355454,2.82766734,2.04342346,0,3.25092317,nan,0,0
325,0.770618965,2.9436266,3.12769273,2.75956048,0,3.98859378,nan,0,0
326,0.776625061,2.71742237,2.98536703,2.44947771,0,2.7922616,nan,0,0
327,0.833013436,2.04420421,2.11104917,1.97735925,0,2.59112614,nan,0,0
328,0.836745407,3.47585812,4.40969452,2.54202173,0,3.0036144,nan,0,0
329,0.843437946,3.26271067,4.73740895,1.7880124,0,1.87599012,nan,0,0
330,0.793179881,2.89854002,3.07847848,2.71860157,0,3.51816752,nan,0,0
331,0.789600551,2.73869342,2.94381361,2.53357323,0,3.0818116,nan,0,0
332,0.822642897,2.03786934,2.12840631,1.94733237,0,3.94613886,nan,0,0
333,0.865321806,2.04433183,2.2109455,1.87771816,0,1.81129734,nan,0,0
334,0.850926977,1.83273642,1.99789924,1.6675736,0,2.04835942,nan,0,0
335,0.840794156,1.94810169,2.10643224,1.78977114,0,1.66642526,nan,0,0
336,0.832361242,1.69914916,1.74320838,1.65508993,0,2.62564789,nan,0,0
337,0.821118247,2.48516475,2.66323251,2.30709698,0,2.49055244,nan,0,0
338,0.813873495,2.29542904,2.57186798,2.0189901,0,2.92673576,nan,0,0
339,0.838528051,2.61621748,2.92665991,2.30577505,0,3.62747695,nan,0,0
340,0.833469388,2.62765477,2.87298121,2.38232834,0,4.03912751,nan,0,0
