frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
320,0.806783959,1.92037501,1.95692733,1.88382269,nan,nan,nan,0,0
321,0.823734177,2.03788836,2.11507639,1.96070034,0,4.89605575,nan,0,0
322,0.854132367,2.3788339,2.44638334,2.31128445,0,2.30355098,nan,0,0
323,0.831480876,2.60831908,2.68234666,2.5342915,0,3.24940196,nan,0,0
324,0.793131379,2.4199938,2.80489438,2.03509322,0,4.64930878,nan,0,0
325,0.773430104,2.94871145,3.11080515,2.78661776,0,3.57018955,nan,0,0
326,0.725409185,2.66145344,2.88498827,2.43791862,0,6.27438187,nan,0,0
327,0.835134193,2.05729006,2.17067953,1.94390059,0,4.33881841,nan,0,0
328,0.821552322,3.47640328,4.45132352,2.50148305,0,3.32156097,nan,0,0
329,0.843537415,3.28186919,4.74380718,1.81993121,0,3.68317779,nan,0,0
330,0.783641609,2.90806323,3.1166181,2.69950835,0,1.66103085,nan,0,0
331,0.78357438,2.74455462,2.94184478,2.54726447,0,4.77341234,nan,0,0
332,0.823789357,2.03064259,2.12221876,1.93906642,0,2.95459441,nan,0,0
333,0.831015432,2.02485543,2.11033722,1.93937363,0,2.65962366,nan,0,0
334,0.852570137,1.58361724,1.61357344,1.55366104,0,4.40550478,nan,0,0
335,0.821401799,1.92740917,1.98118107,1.87363728,0,4.71587149,nan,0,0
336,0.833301976,1.69544767,1.73094634,1.65994899,0,2.2258578,nan,0,0
337,0.815065913,2.47845685,2.68087331,2.2760404,0,3.70979536,nan,0,0
338,0.808140646,2.31239405,2.5904625,2.0343256,0,3.3582296,nan,0,0
339,0.848582345,2.62688487,2.88070831,2.37306142,0,2.28152045,nan,0,0
340,0.818942641,2.62461405,2.85870417,2.39052392,0,6.27095202,nan,0,0
