frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
320,0.80566994,1.92024571,1.95676274,1.88372869,nan,nan,nan,0,0
321,0.842256673,2.038248,2.11613135,1.96036466,0,3.92098363,nan,0,0
322,0.855120184,2.37885137,2.44646967,2.31123307,0,2.86567964,nan,0,0
323,0.767039194,2.58902876,2.66677732,2.5112802,0,2.45372005,nan,0,0
324,0.809399478,2.42237759,2.80749401,2.03726117,0,5.54379407,nan,0,0
325,0.787557385,2.95002117,3.12952976,2.77051257,0,2.12763673,nan,0,0
326,0.725409185,2.66145459,2.88498865,2.43792054,0,7.31663895,nan,0,0
327,0.813901345,2.03514278,2.14610748,1.92417808,0,3.46724723,nan,0,0
328,0.821552322,3.47640379,4.45132555,2.50148202,0,4.21003221,nan,0,0
329,0.843537415,3.28186919,4.74380718,1.81993121,0,3.68321605,nan,0,0
330,0.783641609,2.90806367,3.11673517,2.69939216,0,1.65950329,nan,0,0
331,0.78357438,2.74455658,2.94171741,2.54739576,0,4.75732404,nan,0,0
332,0.838335481,2.01647506,2.10883113,1.924119,0,1.39282893,nan,0,0
333,0.831015432,2.02485543,2.11033722,1.93937363,0,4.57470153,nan,0,0
334,0.852054278,1.58347869,1.61329985,1.55365753,0,4.39838418,nan,0,0
335,0.825494588,1.93998,2.00194953,1.87801046,0,3.20539069,nan,0,0
336,0.833301976,1.6954486,1.73092762,1.65996959,0,2.30273343,nan,0,0
337,0.826341648,2.4782036,2.677049,2.27935819,0,2.2198943,nan,0,0
338,0.814255685,2.29916004,2.56946621,2.02885388,0,3.60526999,nan,0,0
339,0.841181165,2.62369573,2.86355064,2.38384082,0,1.64671282,nan,0,0
340,0.824632953,2.63006856,2.86265545,2.39748167,0,7.31149799,nan,0,0
