frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
320,0.841459477,1.92889278,1.93071361,1.92707196,nan,nan,nan,0,0
321,0.847690587,2.03705414,2.08189637,1.99221191,0,4.34420847,nan,0,0
322,0.862376238,2.37916313,2.40479363,2.35353263,0,2.69348731,nan,0,0
323,0.830478055,2.60380907,2.62821948,2.57939865,0,3.12017169,nan,0,0
324,0.810947712,2.44197493,2.7917673,2.09218257,0,4.87550435,nan,0,0
325,0.782808295,2.95552085,3.06724892,2.84379278,0,2.38625614,nan,0,0
326,0.766899011,2.69830048,2.85501717,2.54158379,0,5.90701639,nan,0,0
327,0.836154249,2.04739621,2.11119136,1.98360106,0,3.35001704,nan,0,0
328,0.82567216,3.47351164,4.35298635,2.59403692,0,4.4311028,nan,0,0
329,0.844241774,3.26227225,4.66892365,1.85562085,0,3.83546604,nan,0,0
330,0.778658125,2.88572832,3.0272047,2.74425193,0,1.76254925,nan,0,0
331,0.708041103,2.90225372,3.73934735,2.06516009,0,2.96100402,nan,0,0
332,0.832075124,2.02838083,2.08409603,1.97266562,0,6.67799655,nan,0,0
333,0.849951969,2.02634737,2.06073707,1.99195766,0,3.48307844,nan,0,0
334,0.861750283,1.57848933,1.58033054,1.57664812,0,5.16964553,nan,0,0
335,0.82946027,1.93489651,1.95270026,1.91709276,0,4.78999559,nan,0,0
336,0.835183443,1.70660738,1.71078837,1.70242639,0,2.40121578,nan,0,0
337,0.75966751,2.89167656,3.72871886,2.05463426,0,3.71766985,nan,0,0
338,0.838333652,2.4836469,3.17139416,1.79589965,0,4.43344179,nan,0,0
339,0.726304188,2.74366695,3.69790469,1.78942921,0,2.26498217,nan,0,0
340,0.817455562,2.91250144,3.79646599,2.02853689,0,7.80721197,nan,0,0
