frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
320,0.842589603,1.93283428,1.94724128,1.91842729,nan,nan,nan,0,0
321,0.840978105,2.03737338,2.09658843,1.97815833,0.190605898,3.46168136,nan,0,0
322,0.863321228,2.37765776,2.40597908,2.34933644,0.120908842,2.28847527,nan,0,0
323,0.835403727,2.60753232,2.6481491,2.56691553,0.13637286,3.17286118,nan,0,0
324,0.816176471,2.44174179,2.80278945,2.08069414,0.24544168,3.89275239,nan,0,0
325,0.777109387,2.94836782,3.08795743,2.80877821,0.305118425,3.06578437,nan,0,0
326,0.775166153,2.71722165,2.96224211,2.47220119,0.2459579,3.55410721,nan,0,0
327,0.836677718,2.04658676,2.11196877,1.98120475,0.198905401,2.58473538,nan,0,0
328,0.842779435,3.47786582,4.40757989,2.54815174,0.142620734,2.84634989,nan,0,0
329,0.848354793,3.26670597,4.696579,1.83683293,0.236732728,2.23467841,nan,0,0
330,0.798875064,2.89370699,3.03774375,2.74967023,0.316602521,2.3101802,nan,0,0
331,0.788050964,2.72789071,2.95520214,2.50057927,0.247057049,3.61602804,nan,0,0
332,0.830233843,2.02860117,2.08854995,1.96865238,0.22137935,3.27885335,nan,0,0
333,0.862247839,2.02509119,2.11367557,1.93650682,0.0903738933,2.45510822,nan,0,0
334,0.850387744,1.64884933,1.75379881,1.54389984,0.0857422996,2.47488425,nan,0,0
335,0.833458224,1.93409285,2.00192474,1.86626097,0.120262574,2.03748971,nan,0,0
336,0.835183443,1.70206012,1.7077855,1.69633475,0.230301501,1.70518823,nan,0,0
337,0.830687831,2.46765755,2.71387624,2.22143885,0.247890854,2.15162873,nan,0,0
338,0.828587808,2.23055576,2.66235712,1.79875441,0.187582298,2.64444276,nan,0,0
339,0.848642173,2.62214387,2.86050864,2.3837791,0.282919828,2.63917112,nan,0,0
340,0.834516325,2.59213341,2.99004921,2.1942176,0.591936768,5.08442812,nan,0,0
