frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
275,0.694624556,4.29431645,6.42028243,2.16835047,nan,nan,nan,0,0
276,0.155602988,12.200443,17.7432348,6.65765126,0,10.3207778,nan,0,0
277,0.840239169,3.24040179,3.78582716,2.69497642,0,17.4208348,nan,0,0
278,0.765553236,4.40125988,6.41087229,2.39164747,0,5.01531347,nan,0,0
279,0.681646023,2.16090185,2.19770257,2.12410113,0,6.86470495,nan,0,0
280,0.799515126,1.98641126,1.9947515,1.97807102,0,8.39833489,nan,0,0
281,0.698736842,2.73918869,2.82498552,2.65339186,0,4.71638103,nan,0,0
282,0.722904546,2.38197747,2.36946309,2.39449185,0,5.19876112,nan,0,0
283,0.776605505,2.64731984,2.63864529,2.65599438,0,3.34924782,nan,0,0
284,0.756719023,2.33662565,2.34622624,2.32702505,0,6.90016116,nan,0,0
285,0,38.3405875,50.9281884,25.7529865,0,87.2480915,nan,0,0
286,0.765297668,2.04143518,2.04686019,2.03601017,0,87.5858452,nan,0,0
287,0.779699851,2.35164105,2.40298469,2.3002974,0,6.06431787,nan,0,0
288,0.773199406,2.33299911,2.3986002,2.26739803,0,0.983463864,nan,0,0
289,0.761195766,2.40788188,2.43238816,2.38337559,0,3.51080421,nan,0,0
290,0.800576369,2.31941979,2.33394752,2.30489206,0,1.05193885,nan,0,0
291,0.81993418,2.37532789,2.37997245,2.37068332,0,8.15024568,nan,0,0
292,0.773910105,2.5936274,2.60445231,2.5828025,0,11.7051366,nan,0,0
293,0.726892145,2.39066963,2.38136327,2.399976,0,5.7462026,nan,0,0
294,0.845615205,1.95822747,1.95505429,1.96140065,0,2.53378571,nan,0,0
295,0.783454723,2.3415206,2.37272686,2.31031434,0,2.64067957,nan,0,0
