frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
275,0.771388499,4.18393859,6.09877729,2.26909988,nan,nan,nan,0,0
276,0.582508251,9.80900595,16.8133882,2.80462369,147.682339,10.4916718,0.00452569416,1,1
277,0.831661442,3.24164309,3.78454596,2.69874023,29.7519133,4.6618748,nan,0,0
278,0.73496682,4.20212156,6.08776692,2.31647619,46.5129721,4.48383728,nan,0,0
279,0.688625205,2.16868641,2.21093603,2.12643679,49.0414806,2.62394442,nan,0,0
280,0.801244857,1.99569114,2.00799066,1.98339162,147.318346,8.16059737,0.00442555845,1,1
281,0.709653648,2.75188199,2.83697909,2.66678488,153.138777,4.83290439,0.00404326327,1,1
282,0.767010309,2.42040556,2.39870122,2.4421099,124.674228,5.17177107,0.0044512244,1,1
283,0.79036503,2.66604875,2.65061824,2.68147925,173.408601,3.36322542,0.00426208186,1,1
284,0.767988084,2.36393448,2.36910808,2.35876088,9.36348138,6.82886861,nan,0,0
285,0,38.3461936,50.9192802,25.7731071,142.87469,86.7171056,0.0045451536,1,1
286,0.772560276,2.08256833,2.08959712,2.07553955,137.913917,86.6588829,0.0045079324,1,1
287,0.779641932,2.38671473,2.43629287,2.33713658,176.559089,6.13912602,0.00420781905,1,1
288,0.761713968,2.35935577,2.42665136,2.29206018,175.958012,0.884076939,0.0042466681,1,1
289,0.778458338,2.43570194,2.45447178,2.4169321,178.710711,3.79796877,0.00422421871,1,1
290,0.812200137,2.34489263,2.35562427,2.33416099,171.664598,1.15001108,0.00424825012,1,1
291,0.827703098,2.39664254,2.39520485,2.39808024,12.6300694,8.22542777,nan,0,0
292,0.790786517,2.60719928,2.61584765,2.59855092,9.39203968,11.6799782,nan,0,0
293,0.748784262,2.40654236,2.39076875,2.42231597,178.68667,5.71320618,0.00420911781,1,1
294,0.852073631,1.964347,1.95995313,1.96874088,174.872464,2.39398499,0.00422626323,1,1
295,0.81062179,2.36511657,2.3878223,2.34241085,178.007333,2.2400446,0.00412202218,1,1
