frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
275,0.759815984,4.18495021,6.10390975,2.26599068,nan,nan,nan,0,0
276,0.587146672,9.86676908,16.9230726,2.81046561,0,10.5697298,nan,0,0
277,0.821284099,3.24589587,3.78065918,2.71113256,0,4.60472414,nan,0,0
278,0.713331985,4.22844527,6.14230899,2.31458156,0,4.55840485,nan,0,0
279,0.687174246,2.16941744,2.21121492,2.12761995,0,2.41273694,nan,0,0
280,0.805707666,1.99963893,2.00899456,1.9902833,0,8.08989295,nan,0,0
281,0.693830523,2.75035171,2.84532757,2.65537585,0,4.93996928,nan,0,0
282,0.760989308,2.43003739,2.40852001,2.45155476,0,5.13784421,nan,0,0
283,0.790950745,2.67606079,2.65931348,2.6928081,0,3.31641529,nan,0,0
284,0.76402056,2.37620872,2.37526543,2.37715201,0,6.68100038,nan,0,0
285,0,38.3405875,50.9281884,25.7529865,0,86.697518,nan,0,0
286,0.774453395,2.09353589,2.09605135,2.09102044,0,86.7279955,nan,0,0
287,0.781605314,2.40160641,2.44493449,2.35827832,0,6.17978105,nan,0,0
288,0.771594592,2.37547063,2.43801241,2.31292885,0,0.961085274,nan,0,0
289,0.767908309,2.45041061,2.46611101,2.43471022,0,3.7789801,nan,0,0
290,0.808520333,2.35579206,2.36336608,2.34821804,0,1.10539338,nan,0,0
291,0.829561363,2.40641207,2.40424436,2.40857977,0,8.2321644,nan,0,0
292,0.790188595,2.61915333,2.62253789,2.61576877,0,11.7081901,nan,0,0
293,0.749006623,2.41716327,2.39975881,2.43456772,0,5.7064328,nan,0,0
294,0.851280914,1.97387386,1.96641091,1.9813368,0,2.310193,nan,0,0
295,0.805579773,2.36690797,2.39251531,2.34130063,0,2.18818964,nan,0,0
