frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
275,0.437326172,5.52667888,8.13924976,2.91410801,nan,nan,nan,0,0
276,0.583076627,10.4454185,18.0774413,2.81339566,0,3.20176429,nan,0,0
277,0.725645129,3.25218973,3.80638506,2.69799441,0,2.86817355,nan,0,0
278,0.832243779,4.80734257,6.97262999,2.64205516,0,2.53602905,nan,0,0
279,0.759390863,3.6632604,4.3345195,2.9920013,0,2.20598412,nan,0,0
280,0.62021832,3.17804553,3.77379247,2.58229858,0,1.87914537,nan,0,0
281,0.526268763,4.79311392,5.87987767,3.70635017,0,1.55753252,nan,0,0
282,0.4323655,4.82410379,5.77809111,3.87011647,0,1.24520143,nan,0,0
283,0.294649171,6.19962254,7.45947735,4.93976772,0,1.69274071,nan,0,0
284,0.212769184,7.15929235,8.71508807,5.60349664,0,1.73959836,nan,0,0
285,0.178677784,39.7337753,73.8614235,5.60612715,0,0.62701751,nan,0,0
286,0.19441903,7.3171177,8.76393445,5.87030095,0,0.710556745,nan,0,0
287,0.243407548,5.46662607,6.64485384,4.2883983,0,1.46117732,nan,0,0
288,0.319746074,4.62793071,5.59224865,3.66361278,0,1.5580841,nan,0,0
289,0.374296041,4.82879198,5.75131293,3.90627102,0,0.970020954,nan,0,0
290,0.469882729,3.83901791,4.54865298,3.12938284,0,1.3373271,nan,0,0
291,0.620937926,4.53531071,5.32962059,3.74100083,0,1.70760421,nan,0,0
292,0.782599447,3.47587313,4.12485323,2.82689303,0,2.07926567,nan,0,0
293,0.818794964,2.45545159,2.50549598,2.4054072,0,2.45168198,nan,0,0
294,0.656629804,2.68677778,2.96776906,2.40578649,0,2.82455458,nan,0,0
295,0.466694861,3.48002305,4.12186759,2.83817852,0,3.19772386,nan,0,0
