frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
275,0,forward,robust,True,0.0,1.0766757893376733,6.13511206713988,0.9353,2.0530525792889733,21,converged,9353,7483
276,1,forward,robust,False,0.0,10.364408297008639,17.19616690058779,0.715,2.6253080734517953,29,converged,7150,5720
277,2,forward,robust,False,0.0,4.607487500291147,3.872260474482245,0.9902,2.6621421037595168,25,converged,9902,7922
278,3,forward,robust,False,0.0,3.3053665411461655,6.003649856066562,0.8664,2.1298165025852716,22,converged,8664,6932
279,4,forward,robust,False,0.0,2.219947470881894,2.263777201313717,0.9997,1.9056784364483066,18,converged,9997,7998
280,5,forward,robust,False,0.0,7.623464652080368,2.096018375664055,1.0,1.8298425987173546,30,converged,10000,8000
281,6,forward,robust,False,0.0,4.674529106007295,2.9302789351256457,1.0,2.479483203442329,19,converged,10000,8000
282,7,forward,robust,False,0.0,5.400175558370686,2.4724283572263173,1.0,2.201278159698796,39,converged,9937,7950
283,8,forward,robust,False,0.0,3.5670256465294243,2.724142955708289,1.0,2.470684069513737,50,maximum_iterations,10000,8000
284,9,forward,robust,False,0.0,7.285638342530909,2.4892816455015883,1.0,2.159024282411872,28,converged,10000,8000
285,10,forward,robust,False,0.0,4.180832048700185,81.60135471103733,0.3451,2.1055785170433485,26,converged,3451,2761
286,11,forward,robust,False,0.0,3.7373395068168938,2.155144382846618,1.0,1.8544971231737168,29,converged,10000,8000
287,12,forward,robust,False,0.0,4.995555108096568,2.5119024984081495,1.0,2.1796808197404633,33,converged,10000,8000
288,13,forward,robust,False,0.0,0.9720360567829536,2.505903819104221,1.0,2.1551414136067426,23,converged,10000,8000
289,14,forward,robust,False,0.0,3.647033409815826,2.524121212230792,1.0,2.1680807316528212,30,converged,10000,8000
290,15,forward,robust,False,0.0,0.9514846704918851,2.4072672926374588,0.9997,2.066117843530009,26,converged,9997,7998
291,16,forward,robust,False,0.0,8.33844790608564,2.436688359561335,0.9996976720749773,2.129896764360664,32,converged,9920,7936
292,17,forward,robust,False,0.0,10.302635152176608,2.6857654338241432,1.0,2.3457001303655076,29,converged,10000,8000
293,18,forward,robust,False,0.0,3.748030389065903,2.4525825199239457,1.0,2.133656653715203,24,converged,9935,7948
294,19,forward,robust,False,0.0,2.682799341304839,2.005172886081971,1.0,1.7211715019731753,48,converged,9440,7552
295,20,forward,robust,False,0.0,2.7837868351864157,2.4443230180232502,0.9996995794111756,2.0192008681427587,33,converged,9983,7987
