frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
275,0.759328558,4.18501168,6.10398639,2.26603696,nan,nan,nan,0,0
276,0.585730088,9.87553769,16.9374302,2.81364515,0,10.5131562,nan,0,0
277,0.821236002,3.24592579,3.78060825,2.71124333,0,4.56424082,nan,0,0
278,0.70763952,4.2332174,6.15155709,2.31487772,0,4.59372924,nan,0,0
279,0.687174246,2.16948979,2.21155675,2.12742283,0,2.36393498,nan,0,0
280,0.805707666,1.99964206,2.00899963,1.99028448,0,8.07946058,nan,0,0
281,0.688205772,2.74982167,2.84910827,2.65053507,0,4.98304142,nan,0,0
282,0.762512161,2.43021022,2.40874315,2.4516773,0,5.11234449,nan,0,0
283,0.790950745,2.6760652,2.65933565,2.69279476,0,3.31175526,nan,0,0
284,0.764390132,2.37608886,2.37517517,2.37700255,0,6.66428431,nan,0,0
285,0.737615107,41.5592871,80.5228005,2.59577371,0,4.6200896,nan,0,0
286,0.7742121,2.09355653,2.09608814,2.09102492,0,4.74847889,nan,0,0
287,0.781605314,2.40160864,2.4449374,2.35827989,0,6.17885262,nan,0,0
288,0.771594592,2.37532098,2.43785696,2.31278501,0,0.963790203,nan,0,0
289,0.767908309,2.4504238,2.46611442,2.43473317,0,3.77724493,nan,0,0
290,0.808520333,2.35583378,2.36341354,2.34825401,0,1.10449305,nan,0,0
291,0.829561363,2.40642567,2.40425928,2.40859206,0,8.23305303,nan,0,0
292,0.790436637,2.61928001,2.62262705,2.61593298,0,11.7060035,nan,0,0
293,0.749006623,2.41719332,2.39978194,2.4346047,0,5.70355782,nan,0,0
294,0.851564233,1.97410559,1.96664411,1.98156706,0,2.31479103,nan,0,0
295,0.805579773,2.36690797,2.39251531,2.34130063,0,2.18744108,nan,0,0
