frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
275,0.759815984,4.18495021,6.10390975,2.26599068,nan,nan,nan,0,0
276,0.584594096,9.87851918,16.9425167,2.81452163,0,10.4996491,nan,0,0
277,0.821284099,3.24589512,3.78066359,2.71112666,0,4.56142602,nan,0,0
278,0.712522759,4.22927122,6.14386185,2.3146806,0,4.56397843,nan,0,0
279,0.687174246,2.16941952,2.21123102,2.12760803,0,2.40197647,nan,0,0
280,0.805538008,1.99978898,2.00923869,1.99033928,0,8.09007036,nan,0,0
281,0.695219124,2.75061571,2.84452509,2.65670632,0,4.93011922,nan,0,0
282,0.761853332,2.43018852,2.40867585,2.45170119,0,5.14099223,nan,0,0
283,0.790950745,2.67607031,2.65933738,2.69280323,0,3.31253995,nan,0,0
284,0.764390132,2.37608886,2.37517517,2.37700255,0,6.66456128,nan,0,0
285,0.737615107,41.5592871,80.5228005,2.59577371,0,4.6200896,nan,0,0
286,0.7742121,2.09355653,2.09608814,2.09102492,0,4.74847889,nan,0,0
287,0.779263087,2.40173093,2.44455365,2.35890821,0,6.16283373,nan,0,0
288,0.771422187,2.37553594,2.43802852,2.31304335,0,0.97913276,nan,0,0
289,0.767908309,2.45042379,2.46611467,2.43473291,0,3.78119834,nan,0,0
290,0.808520333,2.35581283,2.36339025,2.34823541,0,1.1043533,nan,0,0
291,0.829561363,2.40641687,2.40424999,2.40858376,0,8.23257839,nan,0,0
292,0.790436637,2.61927699,2.62261309,2.61594089,0,11.7046277,nan,0,0
293,0.748592871,2.41716608,2.39979931,2.43453286,0,5.69788164,nan,0,0
294,0.851280914,1.97393809,1.96649105,1.98138512,0,2.31212097,nan,0,0
295,0.805010893,2.36716256,2.39277864,2.34154648,0,2.18280226,nan,0,0
