frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
275,0.734079628,4.19165359,6.1084356,2.27487158,nan,nan,nan,0,0
276,0.57793345,9.85263855,16.8863068,2.81897033,0.416731985,10.2419581,nan,0,0
277,0.790362185,3.24960407,3.77574189,2.72346626,0.211532908,4.3827075,nan,0,0
278,0.713158693,4.23089356,6.14946965,2.31231746,0.45084117,4.32576758,nan,0,0
279,0.673496432,2.16920191,2.20907545,2.12932837,0.535428692,2.43981351,nan,0,0
280,0.805941846,2.0010988,2.01273546,1.98946214,0.359666678,8.01372165,nan,0,0
281,0.696918709,2.74905335,2.83967891,2.65842779,0.192802228,4.73017673,nan,0,0
282,0.761786332,2.42535037,2.40308319,2.44761754,0.600350098,4.99217939,nan,0,0
283,0.795561149,2.6863424,2.66900484,2.70367995,0.282038816,3.05446858,nan,0,0
284,0.765122118,2.37696553,2.37879306,2.37513799,0.150235029,6.37267859,nan,0,0
285,0.73056935,41.473833,80.3445929,2.6030731,0.616998428,4.55572631,nan,0,0
286,0.774141321,2.08077321,2.07960562,2.0819408,0.577919249,4.96992018,nan,0,0
287,0.770742602,2.41267333,2.45499092,2.37035573,0.659131013,5.91873453,nan,0,0
288,0.76623668,2.36049456,2.42016328,2.30082584,0.513533113,1.11950902,nan,0,0
289,0.767556421,2.45512532,2.47203813,2.43821251,0.268765378,3.67979911,nan,0,0
290,0.812043796,2.3569775,2.36436736,2.34958765,0.544622066,1.23908946,nan,0,0
291,0.827513722,2.40298782,2.40067347,2.40530217,0.405937203,8.25688274,nan,0,0
292,0.797751546,2.62380031,2.627757,2.61984363,0.595769497,11.7019203,nan,0,0
293,0.745936982,2.41270878,2.39940797,2.42600959,0.311864654,5.52173775,nan,0,0
294,0.857634647,1.97571356,1.9681378,1.98328931,0.337706258,2.56820231,nan,0,0
295,0.808844352,2.36897794,2.39488801,2.34306788,0.481953654,2.22419302,nan,0,0
