frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.765672417,1.65024033,1.80920222,1.49127844,nan,nan,nan,0,0
10,0.701803726,1.67269611,1.78526028,1.56013194,10.0535886,2.34054055,nan,0,0
11,0.714475252,1.67154378,1.7989768,1.54411076,3.21933892,3.19317278,nan,0,0
12,0.598381705,9.00016134,9.4323839,8.56793878,176.527108,35.5547251,0.0534051082,1,0
13,0.747807244,1.71837046,1.93198244,1.50475847,179.082143,33.5044269,0.0532657476,1,0
14,0.719131508,1.77822997,2.00380917,1.55265077,14.1319234,1.73318153,nan,0,0
15,0.703523726,1.52727324,1.70932899,1.34521748,27.263813,11.1847859,nan,0,0
16,0.591103311,8.95146789,9.40441198,8.49852381,178.662675,32.9846885,0.0534605437,1,0
17,0.725404278,1.59301679,1.82043697,1.36559662,179.567452,33.5076694,0.053311182,1,0
18,0.750201492,1.44662004,1.61613146,1.27710862,16.1768172,5.03820182,nan,0,0
19,0.756628714,1.45764871,1.65051239,1.26478503,2.18058563,2.20933057,nan,0,0
20,0.753530335,1.3818155,1.50122182,1.26240918,1.92972258,1.32921026,nan,0,0
21,0.590107677,8.99313345,9.60640574,8.37986116,178.168773,34.3985592,0.0533178009,1,0
22,0.782495948,1.67615584,1.96811485,1.38419683,179.500533,32.0117918,0.0532682891,1,0
23,0.604838505,9.07151038,9.73564273,8.40737803,177.932288,30.718574,0.0535153855,1,0
24,0.756945376,1.75751264,2.07036124,1.44466404,179.287802,31.758521,0.0535449929,1,0
25,0.666604133,1.50810589,1.66251563,1.35369614,33.4868685,3.0886386,nan,0,0
26,0.674562475,1.70478407,1.94014403,1.4694241,11.9996124,0.762170099,nan,0,0
27,0.745467511,1.76959994,2.13014196,1.40905793,34.2803559,0.999472361,nan,0,0
28,0.671960061,9.17868629,10.0027592,8.35461337,178.698417,32.5374005,0.0532730274,1,0
29,0.663365339,9.34423351,10.3025267,8.38594036,12.7777101,3.78883689,nan,0,0
