frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.709237412,1.6277222,1.76923239,1.48621201,nan,nan,nan,0,0
10,0.693784726,1.7382074,1.85844181,1.61797299,40.1975118,1.41347808,nan,0,0
11,0.694551099,2.35148052,2.4855052,2.21745584,9.87058236,2.08492654,nan,0,0
12,0.704550876,2.7407198,2.92628095,2.55515865,3.95480941,5.00963616,nan,0,0
13,0.716723004,2.2565736,2.44446552,2.06868168,13.1196722,3.0697788,nan,0,0
14,0.69401476,2.58013921,2.86044619,2.29983224,27.0712351,7.75827085,nan,0,0
15,0.68644204,2.30333827,2.55631701,2.05035953,10.3616704,2.01895109,nan,0,0
16,0.675080128,1.87666105,2.0734335,1.67988859,4.04429456,1.69666488,nan,0,0
17,0.676816225,1.67746977,1.91677329,1.43816626,9.27680866,3.51185354,nan,0,0
18,0.683879825,1.65974252,1.83215218,1.48733286,6.47824969,1.09971335,nan,0,0
19,0.679935845,1.55328981,1.76119698,1.34538265,7.96116983,1.34655152,nan,0,0
20,0.705043193,1.72226469,1.94158066,1.50294871,12.0310231,0.717511999,nan,0,0
21,0.692570818,1.48470701,1.68131935,1.28809468,31.4937271,1.48783106,nan,0,0
22,0.695403385,1.79413124,2.05234039,1.53592209,43.5181651,2.92906748,nan,0,0
23,0.662933991,1.90945496,2.20959739,1.60931253,79.816042,1.77496258,0.00589180342,1,1
24,0.675369723,1.80781711,2.08615205,1.52948216,12.393984,1.20233516,nan,0,0
25,0.682371682,1.55081215,1.72618619,1.37543811,9.4099116,1.02016252,nan,0,0
26,0.718879104,1.74073376,1.95940391,1.52206361,31.8310332,1.47443511,nan,0,0
27,0.724325662,1.80710411,2.24475625,1.36945198,8.58479724,1.85426422,nan,0,0
28,0.749616874,1.91277499,2.34184368,1.4837063,50.1460337,1.14386983,nan,0,0
29,0.711689987,2.20287522,2.73811567,1.66763477,16.1599913,1.06589667,nan,0,0
