frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.760621374,1.49195668,1.58621112,1.39770223,nan,nan,nan,0,0
10,0.713063907,1.43668757,1.49903169,1.37434346,1.90671612,2.16901327,nan,0,0
11,0.700861816,1.65771402,1.85161448,1.46381357,4.87891349,1.6077992,nan,0,0
12,0.760244182,1.67242988,1.85720273,1.48765702,14.7355967,9.80477898,nan,0,0
13,0.700509221,1.49223894,1.63527565,1.34920223,5.3168177,5.47658709,nan,0,0
14,0.728314572,1.71268306,1.9732942,1.45207192,4.55109923,1.16282676,nan,0,0
15,0.719090503,1.50969573,1.67644795,1.34294351,10.3366965,7.59578118,nan,0,0
16,0.659520136,1.39466415,1.44948916,1.33983913,4.36427032,3.41096242,nan,0,0
17,0.664810047,1.25379961,1.35424983,1.15334939,1.35928884,1.08636464,nan,0,0
18,0.734600037,1.42169267,1.6150679,1.22831743,4.72603149,3.33214587,nan,0,0
19,0.696578489,1.42370249,1.59961634,1.24778864,1.99325073,1.77664634,nan,0,0
20,0.736212045,1.46069375,1.64786883,1.27351868,2.43307587,0.75023496,nan,0,0
21,0.777341121,1.63645685,1.98082983,1.29208387,1.73572537,1.87414646,nan,0,0
22,0.724753761,1.63927006,1.95629604,1.32224408,2.84738781,3.90542248,nan,0,0
23,0.689353622,1.44428468,1.60595717,1.28261218,1.71120124,2.25718613,nan,0,0
24,0.737003305,1.64628601,1.96244786,1.33012417,2.13580818,1.62801709,nan,0,0
25,0.717335495,1.49916489,1.64552215,1.35280764,2.76471254,1.30200598,nan,0,0
26,0.743918054,1.54193134,1.69126164,1.39260105,1.73065643,0.960355252,nan,0,0
27,0.739046516,1.80802212,2.24696644,1.36907781,2.55906114,1.47183988,nan,0,0
28,0.732599916,1.84187304,2.26939291,1.41435318,3.1536545,1.54761073,nan,0,0
29,0.702835486,1.96265024,2.39090621,1.53439427,1.72990376,0.869171103,nan,0,0
