frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.709345287,1.45437008,1.53915679,1.36958336,nan,nan,nan,0,0
10,0.688365873,1.4049087,1.46602611,1.34379129,0.703389514,1.99110614,nan,0,0
11,0.738765214,1.53465271,1.67937634,1.38992907,3.9220405,2.23828861,nan,0,0
12,0.748402396,1.73908671,1.99817504,1.47999839,13.8766385,10.0551541,nan,0,0
13,0.717605967,1.55860501,1.77391676,1.34329326,4.55452219,5.33119391,nan,0,0
14,0.713158027,1.74226223,2.02979098,1.45473349,3.24278922,1.24474732,nan,0,0
15,0.673049382,1.48961193,1.67981688,1.29940699,9.05202804,7.80835092,nan,0,0
16,0.685272876,1.45955514,1.5974546,1.32165568,5.04026318,3.14852605,nan,0,0
17,0.654752213,1.30393043,1.4796913,1.12816956,1.7457509,1.11147349,nan,0,0
18,0.76473379,1.56387497,1.87952477,1.24822516,5.12542699,3.19846998,nan,0,0
19,0.721491633,1.52471686,1.79636648,1.25306724,2.09135179,1.67245164,nan,0,0
20,0.747999789,1.54564306,1.82379266,1.26749345,1.68696069,0.982704646,nan,0,0
21,0.780892848,1.68681109,2.08689493,1.28672725,0.904465045,1.52340444,nan,0,0
22,0.73314227,1.67986505,2.06079502,1.29893507,2.95313001,3.74248393,nan,0,0
23,0.695326903,1.47009421,1.66852009,1.27166832,2.22490949,2.04642184,nan,0,0
24,0.746144753,1.70092943,2.07671472,1.32514415,2.63799022,1.32168817,nan,0,0
25,0.737299105,1.54344695,1.74755367,1.33934023,1.85724619,1.0879506,nan,0,0
26,0.763639827,1.57974496,1.78797482,1.3715151,3.28893156,0.649577088,nan,0,0
27,0.747959184,1.84523454,2.31526344,1.37520564,3.80578245,1.2999628,nan,0,0
28,0.735335916,1.84843817,2.27615821,1.42071814,2.81106542,1.34250205,nan,0,0
29,0.700191033,1.99168822,2.4422627,1.54111374,1.88511051,0.980986621,nan,0,0
