frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.763404697,1.59903294,1.7455837,1.45248218,nan,nan,nan,0,0
10,0.701828905,1.56575624,1.65029557,1.48121691,4.17942978,2.06152877,nan,0,0
11,0.746409167,1.52552828,1.63243052,1.41862604,3.64510124,2.77979493,nan,0,0
12,0.794137662,1.822108,2.15356919,1.49064682,13.0382289,10.2250196,nan,0,0
13,0.707337137,1.4823881,1.64088264,1.32389357,7.72651849,4.42390464,nan,0,0
14,0.762884167,1.59225643,1.78174787,1.402765,3.25147029,1.4462354,nan,0,0
15,0.755136759,1.65902787,1.89529341,1.42276232,9.14874482,7.06081336,nan,0,0
16,0.681530364,1.50216248,1.62044209,1.38388286,4.98294718,2.70523209,nan,0,0
17,0.68355835,1.31424316,1.4477024,1.18078391,1.48817563,0.906787372,nan,0,0
18,0.730907942,1.48597587,1.71468192,1.25726981,4.21913802,3.3534972,nan,0,0
19,0.682499077,1.46972838,1.67940336,1.26005339,2.77016138,1.25367009,nan,0,0
20,0.707572077,1.41959505,1.58361239,1.25557771,1.87585366,1.04087197,nan,0,0
21,0.716352878,1.48894126,1.70432952,1.273553,1.04371121,1.60889406,nan,0,0
22,0.718031018,1.56775753,1.81407371,1.32144134,4.04423744,2.6613258,nan,0,0
23,0.72590498,1.5110125,1.73603956,1.28598543,0.758247313,2.29046422,nan,0,0
24,0.690434131,1.56866907,1.81948436,1.31785377,1.71193134,1.45539963,nan,0,0
25,0.678369956,1.55454944,1.73133747,1.37776141,0.946144395,1.48494801,nan,0,0
26,0.677320455,1.55281355,1.74295925,1.36266784,1.39429238,0.780360569,nan,0,0
27,0.679359323,1.70690773,2.04399538,1.36982007,1.17551762,1.59421284,nan,0,0
28,0.687406422,1.80469628,2.19356428,1.41582827,1.28531558,1.45357365,nan,0,0
29,0.722536078,1.99764005,2.47484839,1.5204317,1.63416889,1.0250483,nan,0,0
