frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
9,0,forward,sequential,True,2.561443999520062,0.1046774546644648,1.9810149825069363,0.99,1.172094466075316,,open3d_or_translation_icp,,
10,1,forward,sequential,False,4.179429781392229,2.06152876959724,1.880274846008943,0.99,1.2117563166320386,,open3d_or_translation_icp,,
11,2,forward,sequential,False,3.6451012440431607,2.779794933817138,1.8795940372718904,0.9902,1.153704724851897,,open3d_or_translation_icp,,
12,3,forward,sequential,False,13.038228943781126,10.225019562086796,2.3846989874153035,0.9902,1.238910338226852,,open3d_or_translation_icp,,
13,4,forward,sequential,False,7.726518491093166,4.423904638684434,1.8930600842377767,0.9902,1.0234933711039265,,open3d_or_translation_icp,,
14,5,forward,sequential,False,3.2514702854266506,1.446235399783792,2.029576355652554,0.9906,1.0907007453862425,,open3d_or_translation_icp,,
15,6,forward,sequential,False,9.148744816359999,7.0608133602075425,2.1397985624390765,0.9902,1.1746164474679184,,open3d_or_translation_icp,,
16,7,forward,sequential,False,4.982947178054015,2.705232090570687,1.8666502212684628,0.9904,1.0989088201383057,,open3d_or_translation_icp,,
17,8,forward,sequential,False,1.4881756251900864,0.9067873723014798,1.7153300059863632,0.9908,1.0061910873040414,,open3d_or_translation_icp,,
18,9,forward,sequential,False,4.219138021745325,3.353497202248053,1.9800674411587862,0.9906,0.9919611791504098,,open3d_or_translation_icp,,
19,10,forward,sequential,False,2.7701613777108802,1.2536700902611684,1.947545003170491,0.9906,1.005158470847699,,open3d_or_translation_icp,,
20,11,forward,sequential,False,1.8758536589955201,1.040871974972311,1.834943428625384,0.9906,0.9751363703667866,,open3d_or_translation_icp,,
21,12,forward,sequential,False,1.0437112090537255,1.6088940641882155,1.9683138295505584,0.9904,0.9907908143408108,,open3d_or_translation_icp,,
22,13,forward,sequential,False,4.044237439138883,2.661325796843996,2.083281260683744,0.9898,1.0229245140725847,,open3d_or_translation_icp,,
23,14,forward,sequential,False,0.7582473131820484,2.2904642216094824,2.002725930129797,0.9904,1.0206971402670244,,open3d_or_translation_icp,,
24,15,forward,sequential,False,1.7119313433299583,1.455399630438961,2.086084122308991,0.9906,1.039887969677911,,open3d_or_translation_icp,,
25,16,forward,sequential,False,0.9461443952687256,1.4849480091713914,1.9824105473502267,0.9904,1.1422591801297166,,open3d_or_translation_icp,,
26,17,forward,sequential,False,1.3942923779089307,0.7803605688689357,1.998888505728497,0.9902,1.1143744566200706,,open3d_or_translation_icp,,
27,18,forward,sequential,False,1.17551762276051,1.5942128361325785,2.315456791314091,0.9906,1.088020061172024,,open3d_or_translation_icp,,
28,19,forward,sequential,False,1.2853155789571067,1.4535736489342481,2.4390134500639897,0.9902,1.2113891547781233,,open3d_or_translation_icp,,
29,20,forward,sequential,False,1.6341688862301318,1.0250483046267045,2.7166770391449173,0.99,1.315813597867942,,open3d_or_translation_icp,,
