frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.765672417,1.65024033,1.80920222,1.49127844,nan,nan,nan,0,0
10,0.712768218,1.67228398,1.78961376,1.5549542,168.361686,2.88013866,0.00992181642,1,1
11,0.668136895,1.627698,1.70329931,1.55209668,91.6510221,1.7169705,0.00645144842,1,1
12,0.73257164,1.60959901,1.72435232,1.49484571,25.4864113,15.6845039,nan,0,0
13,0.744489405,1.67948009,1.847124,1.51183618,21.5723519,6.53966799,nan,0,0
14,0.74143782,1.76039161,1.97077553,1.5500077,104.378894,0.486076909,0.0100615537,1,1
15,0.664302727,1.4702233,1.6321189,1.30832771,26.6409368,9.97669361,nan,0,0
16,0.69675716,1.58132579,1.71583864,1.44681294,104.881519,6.77437874,0.0073256445,1,1
17,0.670403469,1.49379871,1.70713584,1.28046157,116.531432,3.11024501,0.00733283491,1,1
18,0.68991557,1.41356966,1.568456,1.25868331,13.8949762,5.18574984,nan,0,0
19,0.674367147,1.40858671,1.57600158,1.24117184,2.89810764,2.1960562,nan,0,0
20,0.683532295,1.3498213,1.45640099,1.2432416,2.83738639,1.70050586,nan,0,0
21,0.770250368,1.71412465,1.99539665,1.43285264,159.932365,1.94404914,0.00784170223,1,1
22,0.676064674,1.60718888,1.87958649,1.33479128,111.655594,6.65836899,0.00765344591,1,1
23,0.676657584,1.48178101,1.68593943,1.2776226,145.997155,1.91365102,0.00664357954,1,1
24,0.673410638,1.69442533,1.97988335,1.40896731,38.7179076,1.6164804,nan,0,0
25,0.664999597,1.48573367,1.62679904,1.3446683,35.2895568,2.14113824,nan,0,0
26,0.728147988,1.66186012,1.86805913,1.45566111,102.256904,1.66882995,0.00686916985,1,1
27,0.695786678,1.7391061,2.09448397,1.38372823,34.5097384,1.64988977,nan,0,0
28,0.739037522,1.85376952,2.29247991,1.41505913,173.354185,2.72331847,0.00951319031,1,1
29,0.700528446,1.99242421,2.44353375,1.54131467,82.6807672,1.03911207,0.00980890516,1,1
