frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.685257206,1.64320068,1.75137015,1.53503121,nan,nan,nan,0,0
10,0.713383254,1.67828496,1.75446658,1.60210335,12.2545643,2.21148023,nan,0,0
11,0.678269856,1.77694125,1.92649138,1.62739112,9.13309721,1.9366298,nan,0,0
12,0.742447607,1.890858,2.11620687,1.66550914,25.5276019,9.35563094,nan,0,0
13,0.723657313,1.71129194,1.8504141,1.57216978,22.6567525,3.69627271,nan,0,0
14,0.668011851,1.94609451,2.24446879,1.64772024,16.1749291,3.66253114,nan,0,0
15,0.675752016,1.76698725,2.09325427,1.44072022,31.2801306,6.85816068,nan,0,0
16,0.691162369,1.58244098,1.70205743,1.46282452,13.048383,2.69597338,nan,0,0
17,0.66288136,1.64500835,1.92302885,1.36698786,22.4920403,1.85352499,nan,0,0
18,0.721672603,1.4565574,1.57690011,1.33621469,11.0199056,2.57919845,nan,0,0
19,0.726766878,1.48847287,1.61225512,1.36469062,2.14258046,2.05657538,nan,0,0
20,0.721949417,1.41203251,1.4814913,1.34257373,1.87104954,1.37846029,nan,0,0
21,0.748245732,1.77040755,1.99525075,1.54556436,19.2602921,1.53216853,nan,0,0
22,0.737784007,1.71059884,1.91461088,1.5065868,21.4232445,4.86613179,nan,0,0
23,0.674650219,1.55768814,1.70478454,1.41059174,33.2869939,2.61962154,nan,0,0
24,0.69209079,2.12350891,2.64487475,1.60214307,25.1394212,6.44016057,nan,0,0
25,0.666819308,1.51991712,1.62550127,1.41433297,23.081803,6.19379969,nan,0,0
26,0.702634949,1.74582923,1.93070687,1.56095159,12.8349673,0.826312163,nan,0,0
27,0.683505211,1.84140173,2.10829754,1.57450591,33.3780495,1.17385706,nan,0,0
28,0.689803081,1.9792283,2.39912504,1.55933156,27.6166159,2.10540629,nan,0,0
29,0.693257574,2.06451395,2.463001,1.6660269,14.4451564,2.20982853,nan,0,0
