frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.68354081,1.6588554,1.7677112,1.54999959,nan,nan,nan,0,0
10,0.684630033,1.67979336,1.76281264,1.59677408,11.1125865,1.93149399,nan,0,0
11,0.719760834,2.29862375,2.41271447,2.18453302,9.30636925,2.44711103,nan,0,0
12,0.731253623,2.41927754,2.62423265,2.21432243,15.2501035,4.442485,nan,0,0
13,0.704736339,1.88188754,2.03285359,1.73092149,15.7507051,1.67811177,nan,0,0
14,0.657641786,2.05891335,2.35630034,1.76152636,10.9976243,3.03439586,nan,0,0
15,0.696539395,2.26516549,2.58639935,1.94393162,22.4465406,3.33820202,nan,0,0
16,0.723403695,1.53271295,1.63453847,1.43088743,10.3152317,0.632627853,nan,0,0
17,0.729039008,1.51712645,1.75202402,1.28222888,14.1144819,1.61590419,nan,0,0
18,0.749193932,1.64617237,1.78772817,1.50461657,4.86166444,1.41220517,nan,0,0
19,0.717198628,1.5503663,1.69030244,1.41043015,2.60910787,0.450266489,nan,0,0
20,0.726291625,1.3794398,1.45689478,1.30198482,1.66903718,0.494841809,nan,0,0
21,0.748810196,1.80852019,2.03623682,1.58080355,18.10554,1.24906057,nan,0,0
22,0.716616851,1.96164149,2.18366214,1.73962084,15.0342761,3.04549848,nan,0,0
23,0.713988199,1.63941856,1.87433868,1.40449845,26.3593644,1.17540393,nan,0,0
24,0.708747515,2.03338606,2.42533263,1.6414395,21.0030048,2.25658176,nan,0,0
25,0.663641016,1.62910336,1.7594106,1.49879612,13.9971987,2.46450658,nan,0,0
26,0.703437772,1.77976803,1.97165769,1.58787836,11.5990352,1.45632352,nan,0,0
27,0.672800904,1.81151942,2.08583125,1.5372076,23.8340626,1.04576372,nan,0,0
28,0.689852085,2.04530165,2.4284714,1.6621319,15.5177359,1.73825371,nan,0,0
29,0.698155127,2.04088005,2.4588012,1.62295891,7.79060159,1.78358473,nan,0,0
