frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
9,0.684296243,1.6511045,1.76279723,1.53941177,nan,nan,nan,0,0
10,0.689778938,1.68749423,1.77557464,1.59941381,11.0643039,1.91233997,nan,0,0
11,0.722883116,2.27901012,2.39658972,2.16143053,9.38998332,2.42988593,nan,0,0
12,0.735021586,2.42818138,2.63361694,2.22274581,15.3711708,4.42316222,nan,0,0
13,0.706733326,1.85423669,2.00719318,1.7012802,15.8617103,1.72023579,nan,0,0
14,0.663087179,2.06188205,2.36438932,1.75937477,10.9836659,3.09411906,nan,0,0
15,0.703685717,2.2220897,2.54891634,1.89526305,22.5681948,3.32959837,nan,0,0
16,0.72713841,1.53071028,1.63412656,1.427294,10.3746181,0.676859422,nan,0,0
17,0.740843869,1.51831276,1.75786008,1.27876544,14.2659244,1.6205219,nan,0,0
18,0.756485444,1.63901372,1.78572102,1.49230642,4.81906716,1.36252049,nan,0,0
19,0.725923579,1.51782302,1.65598394,1.3796621,2.55385465,0.486587032,nan,0,0
20,0.737671595,1.38192569,1.46508941,1.29876196,1.59283691,0.477082746,nan,0,0
21,0.754586539,1.81271982,2.04604539,1.57939426,18.0718561,1.23100747,nan,0,0
22,0.724805993,1.91995929,2.14655626,1.69336232,15.1916892,3.02335881,nan,0,0
23,0.717403484,1.6254074,1.86897876,1.38183604,26.4432084,1.12394564,nan,0,0
24,0.72118258,1.98853066,2.38257945,1.59448187,21.0004302,2.26785328,nan,0,0
25,0.664378584,1.62524642,1.76101255,1.48948029,14.0855943,2.4414776,nan,0,0
26,0.70884561,1.76470653,1.95925639,1.57015667,11.618867,1.43967325,nan,0,0
27,0.674727333,1.78710669,2.0667716,1.50744178,23.8897177,1.04443826,nan,0,0
28,0.693422116,2.02021739,2.40909447,1.63134031,15.5893401,1.72077975,nan,0,0
29,0.700528595,2.02638931,2.44963977,1.60313884,7.79287953,1.80187538,nan,0,0
