frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
66,0.669385293,2.21388519,3.07333183,1.35443856,nan,nan,nan,0,0
67,0.700885783,2.2811714,3.25553934,1.30680346,156.445595,4.39974201,0.0076962975,1,1
68,0.681222142,2.30063859,3.24395639,1.35732078,24.6512677,8.96487023,nan,0,0
69,0.703818953,2.40055744,3.44886255,1.35225232,169.178557,5.06631549,0.00816391516,1,1
70,0.756344026,2.1408408,3.0786545,1.20302711,162.046394,3.98478943,0.00886952222,1,1
71,0.700787006,2.56918253,3.77921423,1.35915082,17.9783135,3.21842684,nan,0,0
72,0.763207858,2.46956917,3.71414916,1.22498917,38.1444519,2.21294475,nan,0,0
73,0.699175928,1.95256988,2.67480869,1.23033107,47.7191042,3.47274798,nan,0,0
74,0.72974266,1.87927428,2.61378715,1.14476141,44.2355826,3.81603771,nan,0,0
75,0.709420942,2.0910516,3.01763761,1.16446558,32.8358623,0.84658377,nan,0,0
76,0.679394867,2.44623597,3.52835061,1.36412133,3.03303892,12.3909057,nan,0,0
77,0.608074815,2.30444543,3.26945267,1.33943819,62.6011388,2.30788316,0.00799484606,1,1
78,0.671122928,2.47394222,3.57185605,1.37602839,101.5504,6.94431537,0.00734235988,1,1
79,0.653329686,2.63178613,3.6518201,1.61175217,9.84027328,9.96263195,nan,0,0
80,0.668888057,2.28974252,3.29365144,1.28583361,18.3043817,3.54526843,nan,0,0
81,0.644775107,2.81860121,4.0772445,1.55995791,120.570184,9.18449345,0.00994438971,1,1
82,0.649875104,2.75090456,3.90413291,1.5976762,111.787789,11.4917864,0.00945641668,1,1
83,0.657080641,2.63792951,3.79325342,1.48260561,136.975699,14.3723125,0.00858754919,1,1
84,0.560184008,2.91202623,4.0376208,1.78643166,179.303794,5.61594593,0.00458274412,1,1
85,0.537251324,3.08928696,4.52212396,1.65644996,90.9100019,4.9953974,0.00410552896,1,1
86,0.665817062,2.9508188,4.02269399,1.8789436,110.880946,7.4708229,0.00834897879,1,1
