frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
66,0.644712189,2.25246823,3.13762369,1.36731277,nan,nan,nan,0,0
67,0.666799662,9.52133769,11.0218568,8.02081854,178.787533,31.9159252,0.0533256008,1,0
68,0.720996111,2.33789429,3.30363842,1.37215017,177.331789,31.8320514,0.053551185,1,0
69,0.707061142,2.44812152,3.48237567,1.41386738,10.6507672,3.2856614,nan,0,0
70,0.677241483,2.16967118,3.10415794,1.23518442,17.7837935,4.63710077,nan,0,0
71,0.568210518,10.1072578,11.7914805,8.42303515,173.879302,31.9648769,0.053702243,1,0
72,0.671310175,2.49568803,3.69960722,1.29176883,174.272352,31.3644453,0.053879135,1,0
73,0.655755617,9.20290358,10.3245808,8.08122635,176.308306,29.3747444,0.0541308087,1,0
74,0.699249257,1.96740163,2.69903349,1.23576978,173.631199,30.8449491,0.0541468441,1,0
75,0.668702902,2.17509224,3.09571549,1.25446898,31.229973,1.1200745,nan,0,0
76,0.636082021,10.1540932,11.671352,8.63683436,174.857593,33.0150264,0.054114736,1,0
77,0.635630885,2.35940816,3.30505918,1.41375715,173.925558,30.9874876,0.0539412848,1,0
78,0.593964955,2.5937382,3.69803914,1.48943726,11.5232931,5.51708088,nan,0,0
79,0.673669015,2.67990341,3.72433974,1.63546707,10.8056855,9.70468052,nan,0,0
80,0.614633293,2.38735404,3.38866181,1.38604626,18.4019993,3.74815326,nan,0,0
81,0.416273026,10.5856657,14.8353329,6.33599847,166.550014,38.5898543,0.0560220685,1,0
82,0.632373415,2.75942522,3.91168481,1.60716564,163.45687,41.0926372,0.0570052042,1,0
83,0.353392897,10.0188105,13.113495,6.92412601,179.200879,41.0001814,0.0536361733,1,0
84,0.616510024,2.92871356,4.04681399,1.81061314,179.490815,37.9441639,0.0536958538,1,0
85,0.376300032,10.0429377,13.6709585,6.4149168,173.031509,37.7351117,0.0548186175,1,0
86,0.665817062,2.9508188,4.02269399,1.8789436,172.915534,38.2184665,0.054346994,1,0
