frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
66,0.658037654,2.70039361,3.94646081,1.4543264,nan,nan,nan,0,0
67,0.675728447,2.89876285,4.35568768,1.44183801,3.44412026,1.29924514,nan,0,0
68,0.651685393,2.85033898,4.28056859,1.42010937,4.39814501,4.75473181,nan,0,0
69,0.660183356,2.91287278,4.42857855,1.39716701,1.35635719,2.89070636,nan,0,0
70,0.718483249,2.73167006,4.09390001,1.36944012,6.28571527,3.01633981,nan,0,0
71,0.69931531,2.94879742,4.50194171,1.39565313,3.26009511,2.00456834,nan,0,0
72,0.706205773,2.80638846,4.22929259,1.38348434,1.39715225,0.316892336,nan,0,0
73,0.724236304,2.27975759,3.12899755,1.43051764,1.98405003,1.22628937,nan,0,0
74,0.716272182,2.20012739,3.07607865,1.32417613,1.24129303,2.4733461,nan,0,0
75,0.747661682,2.55118311,3.75843127,1.34393496,2.08986716,0.97583017,nan,0,0
76,0.686494491,2.66206676,3.88060223,1.44353129,9.37421516,6.5726574,nan,0,0
77,0.720366339,2.59763817,3.74771151,1.44756482,1.73514524,1.81308972,nan,0,0
78,0.741670492,3.18554439,4.84449458,1.52659421,3.68208894,2.25135794,nan,0,0
79,0.793797875,2.8915195,4.12232729,1.66071171,1.70240012,7.44242997,nan,0,0
80,0.747583368,3.04792333,4.62804123,1.46780544,3.44965598,1.48407659,nan,0,0
81,0.804829313,3.22593686,4.83154671,1.62032702,2.39995159,5.69192861,nan,0,0
82,0.810228348,3.46179234,5.29462529,1.6289594,6.95347478,3.70343372,nan,0,0
83,0.763320247,2.95561823,4.34564181,1.56559464,6.4929448,6.74033495,nan,0,0
84,0.745893457,3.31210938,4.71679542,1.90742334,2.90084954,1.54440714,nan,0,0
85,0.697280113,3.34672528,4.93068995,1.76276062,2.2347746,1.9518119,nan,0,0
86,0.661629945,2.94540799,4.01554577,1.87527022,2.94273823,2.89352607,nan,0,0
