frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
66,0.669385293,2.21388519,3.07333183,1.35443856,nan,nan,nan,0,0
67,0.642309698,2.33509175,3.31120901,1.35897448,24.0781902,2.83006421,nan,0,0
68,0.722524907,2.32762636,3.30789966,1.34735306,26.6629249,7.27267168,nan,0,0
69,0.703818953,2.40055744,3.44886255,1.35225232,9.06122047,2.73644049,nan,0,0
70,0.705564941,2.20734304,3.14271738,1.2719687,16.6950029,4.8957842,nan,0,0
71,0.693167017,2.63059719,3.86478915,1.39640522,18.4614491,1.56083957,nan,0,0
72,0.671310175,2.49568803,3.69960722,1.29176883,40.436871,1.25927446,nan,0,0
73,0.715242965,1.98119025,2.68233604,1.28004445,42.075485,3.11206777,nan,0,0
74,0.67612692,1.92208318,2.62871083,1.21545554,44.1721197,3.45400491,nan,0,0
75,0.704632576,2.1031336,3.02010018,1.18616702,32.1782381,0.453154071,nan,0,0
76,0.657002071,3.01109664,4.57121243,1.45098084,10.4893923,5.64513509,nan,0,0
77,0.725308991,2.96846034,4.4793509,1.45756977,22.4019722,3.85019813,nan,0,0
78,0.690139206,3.27292806,4.99830447,1.54755165,14.7295342,5.25335995,nan,0,0
79,0.617820452,2.67351571,3.69703371,1.64999772,16.7474233,3.34189491,nan,0,0
80,0.622281591,2.36968473,3.36259332,1.37677614,17.2739684,3.84736428,nan,0,0
81,0.674391575,3.60641154,5.44876723,1.76405584,20.1535963,4.50422268,nan,0,0
82,0.598369658,2.78988054,3.94510105,1.63466003,14.5993849,11.0503833,nan,0,0
83,0.686215395,3.13057333,4.64361598,1.61753068,30.9917737,6.07465237,nan,0,0
84,0.560989737,2.92705198,4.04035766,1.8137463,16.3326038,3.51054537,nan,0,0
85,0.537251324,3.08928696,4.52212396,1.65644996,1.14207224,3.84731689,nan,0,0
86,0.600686114,2.96052202,4.0156522,1.90539183,19.3862826,5.98980002,nan,0,0
