frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
66,0.666771645,2.22077602,2.9779437,1.46360835,nan,nan,nan,0,0
67,0.638135439,2.32620037,3.20159093,1.45080981,23.50609,2.83461602,nan,0,0
68,0.707086165,2.33617382,3.21100771,1.46133992,26.4024031,7.92310915,nan,0,0
69,0.703539937,2.45937305,3.42670416,1.49204194,8.89164424,2.97945311,nan,0,0
70,0.712417139,2.28576303,3.11344425,1.45808181,16.7861477,4.26425195,nan,0,0
71,0.701236941,2.64373492,3.80576013,1.4817097,18.0148223,1.55060687,nan,0,0
72,0.706856217,2.50025067,3.60368632,1.39681502,40.884609,1.16146773,nan,0,0
73,0.69860838,1.99678243,2.61939385,1.374171,42.1101074,2.94084887,nan,0,0
74,0.66093199,1.97037941,2.58189894,1.35885989,44.0426659,3.66938638,nan,0,0
75,0.685305396,2.25930168,3.02755284,1.49105051,31.7195951,0.856079699,nan,0,0
76,0.651302462,2.91598629,4.38225702,1.44971556,10.094494,5.80092861,nan,0,0
77,0.716806261,2.84797484,4.23026515,1.46568452,22.8786069,3.78333961,nan,0,0
78,0.680556217,3.0922243,4.61557488,1.56887371,14.4455069,5.48186628,nan,0,0
79,0.621057872,2.64775376,3.57026862,1.7252389,15.8153981,3.70632404,nan,0,0
80,0.616839003,2.37404084,3.31336413,1.43471756,17.1625694,3.81530843,nan,0,0
81,0.671424079,3.52633294,5.21384016,1.83882572,19.8165519,4.60391162,nan,0,0
82,0.611912241,2.81085083,3.83704106,1.7846606,13.8391456,10.5440824,nan,0,0
83,0.701362891,3.07071265,4.40047035,1.74095495,31.0344892,6.58206343,nan,0,0
84,0.568055879,2.921821,4.02760784,1.81603415,15.1725096,3.89050641,nan,0,0
85,0.581620426,3.09070876,4.41888397,1.76253355,0.893716745,3.66374801,nan,0,0
86,0.640254509,2.96407147,3.98452058,1.94362236,19.7770188,5.88972418,nan,0,0
