frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
29,0.566495116,7.05174489,7.91788529,6.18560449,nan,nan,nan,0,0
30,0.578385809,7.17099379,8.05509193,6.28689566,0,2.42350393,nan,0,0
31,0.577860031,6.95009124,7.60019416,6.29998832,0,1.43539214,nan,0,0
32,0.587383834,6.99873685,7.7051993,6.2922744,0,3.66918522,nan,0,0
33,0.577674341,7.05484247,7.88356738,6.22611755,0,1.74533257,nan,0,0
34,0.581881183,7.16451048,8.1244819,6.20453906,0,0.992362553,nan,0,0
35,0.576024723,7.04109336,7.83211706,6.25006966,0,6.61917109,nan,0,0
36,0.597915726,6.75530091,7.34338009,6.16722173,0,3.25810008,nan,0,0
37,0.590677712,6.7745616,7.47379858,6.07532461,0,1.00359123,nan,0,0
38,0.568584718,6.82107375,7.44766605,6.19448145,0,2.22740022,nan,0,0
39,0.581157346,6.92207364,7.75942381,6.08472346,0,1.34304917,nan,0,0
40,0.578797686,6.84740838,7.46713306,6.2276837,0,2.1448605,nan,0,0
41,0.569957513,6.9029752,7.6844364,6.12151399,0,0.810774311,nan,0,0
42,0.600382086,7.17077451,8.20822538,6.13332363,0,6.32327237,nan,0,0
43,0.611004752,7.06682465,8.04392701,6.08972229,0,1.47959548,nan,0,0
44,0.61120244,7.27335345,8.37455488,6.17215203,0,2.14419526,nan,0,0
45,0.584317547,7.12211475,8.06387721,6.1803523,0,2.68919481,nan,0,0
46,0.58126119,7.12348254,8.17514187,6.07182321,0,1.78469003,nan,0,0
47,0.597663136,6.87248416,7.6875841,6.05738422,0,1.42513616,nan,0,0
48,0.58615296,6.9679503,7.71420639,6.2216942,0,4.33796767,nan,0,0
49,0.59173617,7.06007169,7.8640512,6.25609219,0,1.74094092,nan,0,0
