frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
29,24,21,2.6819814578678267,1.0,3.022820456791238
30,24,21,2.495766131209513,1.0,2.858114761177434
31,24,21,2.298263869539119,1.0,2.592266077797665
32,24,21,2.3376545669547713,1.0,2.5894654758003544
33,24,21,2.5191021473938995,1.0,2.8322073030690222
34,24,21,2.8066549765514694,1.0,3.1571967501875715
35,24,21,2.7168554197089136,0.9994,3.1372619000255946
36,24,21,2.502783132716543,1.0,2.862903939732584
37,24,21,2.666008409313085,1.0,3.1047146118554187
38,24,21,2.4325263884364046,1.0,2.875355749053586
39,24,21,2.5522172663731046,1.0,2.99985720965034
40,24,21,2.289463597034509,1.0,2.6233248260272815
41,24,21,2.4362670648340785,1.0,2.672585289852996
42,24,21,2.8582897890024266,1.0,3.2229355778791797
43,24,21,3.0045437538635555,0.9998,3.5373240310962077
44,24,21,3.030581657319861,1.0,3.504293418619859
45,24,21,2.6273704537405003,1.0,3.0895031085726514
46,24,21,2.6930824203369386,1.0,3.0721316737880944
47,24,21,2.656135984789502,1.0,3.0418294884700803
48,24,21,2.163811611988754,1.0,2.3323357396563047
49,24,21,2.4254478052604678,1.0,2.706623021081647
