frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
29,0.816213064,2.58341507,2.68450861,2.48232153,nan,nan,nan,0,0
30,0.816073802,2.39954018,2.43598942,2.36309093,0.852322669,1.26634793,nan,0,0
31,0.809399377,2.19969884,2.26259041,2.13680726,1.03489417,1.29228306,nan,0,0
32,0.833313682,2.2348428,2.26634335,2.20334225,3.02759099,4.26186109,nan,0,0
33,0.832958846,2.42069944,2.48026624,2.36113264,2.65540956,1.47741958,nan,0,0
34,0.815818454,2.70557669,2.81250542,2.59864796,1.25602,0.877258453,nan,0,0
35,0.800502742,2.61168958,2.74450086,2.4788783,0.793028323,7.16830472,nan,0,0
36,0.821477091,2.39938217,2.46167202,2.33709233,2.46090459,3.69301652,nan,0,0
37,0.833846274,2.56836162,2.62042156,2.51630168,3.3772217,1.28539953,nan,0,0
38,0.857881239,2.32666888,2.35543008,2.29790768,2.04254369,1.90737423,nan,0,0
39,0.847727002,2.44877821,2.51249871,2.38505771,1.97077978,1.18200888,nan,0,0
40,0.862328209,2.18740471,2.21356491,2.16124451,0.776743299,1.75694906,nan,0,0
41,0.873553072,2.33298561,2.42548329,2.24048793,2.69993372,0.669351943,nan,0,0
42,0.821213996,2.76580432,2.84952186,2.68208677,1.93148657,7.29465124,nan,0,0
43,0.788092379,2.91081982,3.02238963,2.79925002,1.48711961,1.18689157,nan,0,0
44,0.825832404,2.93934439,3.05959157,2.81909721,0.361380001,2.69781042,nan,0,0
45,0.841068581,2.51939254,2.56645411,2.47233097,1.86974187,1.36376744,nan,0,0
46,0.853226521,2.58851122,2.68622666,2.49079579,1.00182858,2.05748879,nan,0,0
47,0.798240125,2.55388603,2.66412413,2.44364792,3.16597534,1.53166694,nan,0,0
48,0.828210403,2.04957989,2.13928347,1.9598763,3.02794283,4.58775723,nan,0,0
49,0.815588455,2.30916497,2.39162942,2.22670052,1.94715255,1.64283224,nan,0,0
