frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
29,1,0,5.432607000221694,0.9106,4.873435151825105
30,1,0,5.463178958164189,0.9004,5.036759044176567
31,1,0,5.401304503505856,0.8936,4.92157642213075
32,1,0,5.786600967996405,0.8888,4.972373062981821
33,1,0,5.492931124552039,0.9036,4.9875884071826
34,1,0,5.580734917196358,0.9052,5.032368554392447
35,1,0,5.4510481509694895,0.9062,4.9351791320105
36,1,0,5.337210278881539,0.9028,4.970949853775085
37,1,0,5.353352074964929,0.9104,4.999543733769194
38,1,0,5.346950612729866,0.8998,4.966249140319187
39,1,0,5.468289479897849,0.9084,4.997996493400511
40,1,0,5.672569290919727,0.8898,4.946190345469883
41,1,0,5.704883733280846,0.8968,4.952594741074718
42,1,0,5.967648976573638,0.92,4.9876635176470145
43,1,0,5.910472836461506,0.918,4.940334336539206
44,1,0,6.022289350997401,0.9188,4.963377714881471
45,1,0,5.849926846185043,0.9084,4.964611358605199
46,1,0,5.7322894490015,0.918,5.050650895045703
47,1,0,5.4286760814454915,0.9104,4.93605332402248
48,1,0,5.408211624492763,0.878,4.901689933520668
49,1,0,5.520158241476195,0.8896,4.940138024297899
