frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
29,20,backward,robust,False,1.0724139218888338,1.4498475554662014,2.8314958949871865,0.9831,1.944963224885429,50,maximum_iterations,9831,7865
30,19,backward,robust,False,0.5995072107048517,0.9496194213653327,2.6474322130500916,0.9972,1.918134019586405,50,maximum_iterations,9972,7978
31,18,backward,robust,False,1.8577249931313442,4.006283069258536,2.4883887398457634,0.996,1.7029169256946655,50,maximum_iterations,9960,7968
32,17,backward,robust,False,2.4938259187886875,1.7451487022605694,2.587718689821994,0.9988,1.8731356323179726,50,converged,9988,7991
33,16,backward,robust,False,1.711795307683346,0.7537540358012829,2.800515524252676,0.9962,1.9932850306646872,40,converged,9962,7970
34,15,backward,robust,False,1.1944204162262486,7.403320992923863,3.048826897208181,0.9884,2.1717419877653437,50,maximum_iterations,9884,7908
35,14,backward,robust,False,4.8381617678228785,3.987896246756288,2.9424057616266577,0.9837,1.9572122134965761,50,maximum_iterations,9837,7870
36,13,backward,robust,False,1.8698162905817066,1.1691686081150545,2.646435499876651,0.9996,1.9590182134731202,50,maximum_iterations,9996,7997
37,12,backward,robust,False,2.3854835989988206,2.1547093503957173,2.762896176175891,0.9909,1.8994693830922644,50,maximum_iterations,9909,7928
38,11,backward,robust,False,3.3736283974186625,1.7130704781911268,2.501004936165938,0.9998,1.8198822570466664,50,maximum_iterations,9998,7999
39,10,backward,robust,False,1.484331557749859,1.5786984913141264,2.677213837045115,0.9841,1.8128421877816985,50,maximum_iterations,9841,7873
40,9,backward,robust,False,2.9902014251015347,0.8835859270048362,2.4815205193651604,0.9974,1.6406832606689756,50,maximum_iterations,9974,7980
41,8,backward,robust,False,5.250233341367738,2.7085024348040583,2.734129456914882,0.9954,1.903035907727165,50,maximum_iterations,9954,7964
42,7,backward,robust,False,1.7730956372691167,1.1732344460745816,3.29921584867411,0.996,2.425150903537807,50,maximum_iterations,9960,7968
43,6,backward,robust,False,1.4520942542644681,3.212807173680754,3.711068515271576,0.9241,2.2866178237680077,50,maximum_iterations,9241,7393
44,5,backward,robust,False,2.072289319770966,0.4868273015107452,3.7985022866363205,0.887,2.030783088658766,50,maximum_iterations,8870,7096
45,4,backward,robust,False,1.369682380064552,1.2296396409536936,3.029692668409628,0.9908,2.127111171523043,50,maximum_iterations,9908,7927
46,3,backward,robust,False,3.2380962349805604,1.3671494381164728,3.229046666583388,0.9795,2.155069941664888,50,maximum_iterations,9795,7836
47,2,backward,robust,False,1.3729482495560195,1.054249941071648,3.25488365530821,0.9808,2.3423975985068837,50,maximum_iterations,9808,7847
48,1,backward,robust,False,4.101201038452058,2.170598145452232,2.4234236742346114,0.9951,1.7690125950410556,50,maximum_iterations,9951,7961
49,0,backward,robust,True,3.321730581827144,1.8826396729601709,2.7665243757595466,0.9871,1.8936927653693967,50,maximum_iterations,9871,7897
