frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
108,0.241683801,5.77888815,5.39421434,6.16356196,nan,nan,nan,0,0
109,0.191199333,6.06069577,5.35435789,6.76703364,10.9613514,7.8446281,nan,0,0
110,0.208149572,6.23265673,5.49992693,6.96538654,8.99815668,2.15028064,nan,0,0
111,0.182539832,6.29643955,6.14106927,6.45180983,7.06330578,3.37542802,nan,0,0
112,0.225994065,6.00768889,5.33325488,6.6821229,9.65998398,7.3804584,nan,0,0
113,0.225722495,5.85499063,5.21812286,6.4918584,12.5632764,11.0174489,nan,0,0
114,0.199283943,6.18263256,5.4885173,6.87674782,19.2241226,18.5689398,nan,0,0
115,0.203843803,6.23093465,5.43865265,7.02321664,14.5798622,0.671025891,nan,0,0
116,0.138423846,5.84015799,5.06198938,6.61832661,5.14039273,9.53623579,nan,0,0
117,0.171095257,5.61464328,4.59559544,6.63369113,5.17844367,14.8650024,nan,0,0
118,0.189675915,5.88084859,5.47457102,6.28712616,4.03291071,6.65620564,nan,0,0
119,0.207188631,5.95148617,5.67259383,6.23037851,5.80695346,11.2532164,nan,0,0
120,0.170769758,5.39563351,4.29973627,6.49153076,4.369453,9.8582589,nan,0,0
121,0.200415348,5.77141703,4.81043464,6.73239942,2.96864697,5.31435605,nan,0,0
122,0.206067724,6.12466859,5.70235906,6.54697813,5.96105144,3.85400836,nan,0,0
123,0.227951595,5.61739815,4.65041211,6.58438419,6.11882081,7.55636113,nan,0,0
124,0.213710929,5.71133883,4.91545863,6.50721902,4.02261694,14.4754757,nan,0,0
125,0.220262289,5.75105605,5.0635553,6.43855679,4.20289535,6.68131431,nan,0,0
126,0.226054291,5.84314854,5.02094309,6.66535399,1.47642764,8.57430284,nan,0,0
127,0.215003067,5.69736625,4.92501317,6.46971934,2.98851827,1.95539376,nan,0,0
128,0.241027011,5.7373214,5.12558318,6.34905962,5.04815582,12.878579,nan,0,0
