frame,candidate_count,selected_candidate,selection_chamfer_cm,icp_fitness,icp_inlier_rmse_cm
108,24,21,3.595081093420014,0.9956,4.157659864783846
109,24,21,3.6253383460598156,0.9544,4.2136570348150455
110,24,21,3.5047311910314107,0.978,4.443404380538536
111,24,21,3.722167048329955,0.932,3.9532884149071155
112,24,21,3.7732571062825904,0.979,4.777478714422625
113,24,21,3.995722873492326,0.9936,4.684687977451589
114,24,21,3.856136433856108,0.9658,4.78084284009951
115,24,21,4.276552540498156,0.9306,4.936835029304403
116,24,21,3.7687575413880916,0.972,4.755306806033522
117,24,21,3.8640157114451887,0.964,4.779561941532724
118,24,21,3.9734686125813616,0.9816,4.593407672381492
119,24,21,4.099092014103818,0.9688,4.7206544741279854
120,24,21,3.876664841362047,0.9784,4.872415793942678
121,24,21,3.4849044085210905,0.9568,4.260563244038922
122,24,21,3.5876068975813844,0.9672,4.372509065845637
123,24,21,3.6497956633417967,0.9476,4.448428520149941
124,24,21,3.4488346269161365,0.9636,4.248591139407396
125,24,21,3.4644468442799914,0.9616,4.269702385221229
126,24,21,3.5398602506223322,0.9532,4.397323746434469
127,24,21,3.437488041242583,0.9536,4.347765851106386
128,24,21,3.42169417530968,0.9588,4.258882085115447
