frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
108,0.242018167,5.64396847,5.37584264,5.91209429,nan,nan,nan,0,0
109,0.246182539,5.62987272,4.89807877,6.36166667,10.5533549,9.03433048,nan,0,0
110,0.221730927,5.8631627,5.39012257,6.33620283,12.1614061,2.08675356,nan,0,0
111,0.234912825,5.90922351,5.7485419,6.06990512,23.2857636,4.01136859,nan,0,0
112,0.22927353,5.86408337,5.28255216,6.44561457,12.8670186,2.31140882,nan,0,0
113,0.240304296,5.58165869,4.87281639,6.290501,7.74909614,10.0094902,nan,0,0
114,0.219346356,5.76577888,5.10355522,6.42800253,10.4124283,20.9659834,nan,0,0
115,0.205439903,6.14269993,5.69773729,6.58766256,20.2358083,3.83061423,nan,0,0
116,0.187870352,5.59339393,4.92936682,6.25742104,18.2046833,11.5851479,nan,0,0
117,0.189617946,5.4924458,4.60895449,6.37593711,6.28176128,15.0773486,nan,0,0
118,0.193167311,5.66603457,5.26062496,6.07144418,3.39321471,5.78435755,nan,0,0
119,0.186946203,5.77786591,5.4997506,6.05598121,5.88853697,9.81599498,nan,0,0
120,0.160416153,5.40666933,4.35026751,6.46307114,22.4114143,7.65044655,nan,0,0
121,0.18537359,5.75157051,4.85788269,6.64525833,7.71803498,2.08716338,nan,0,0
122,0.211871409,5.86276533,5.47466203,6.25086863,12.080498,4.09130159,nan,0,0
123,0.226584048,5.47078801,4.63339523,6.3081808,4.75083271,8.59515275,nan,0,0
124,0.200298471,5.6587103,4.94284579,6.37457482,3.954385,15.4670556,nan,0,0
125,0.211853301,5.63273143,5.16549379,6.09996908,7.7542133,9.12921114,nan,0,0
126,0.228774907,5.67227585,4.90679063,6.43776108,2.76680605,8.25055891,nan,0,0
127,0.213615291,5.34391388,4.57639452,6.11143324,7.33485865,3.88393003,nan,0,0
128,0.242968541,5.6167477,4.95941846,6.27407694,5.09316621,13.4376871,nan,0,0
