frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
108,0.257650099,4.91618935,4.78564203,5.04673668,nan,nan,nan,0,0
109,0.237880622,3.38552915,2.75441058,4.01664773,0.723966124,0.0921751255,nan,0,0
110,0.23459958,3.5937418,3.15135756,4.03612603,0.47122069,0.0725120046,nan,0,0
111,0.232582688,4.05289943,3.45322725,4.6525716,0.51445198,0.0683653352,nan,0,0
112,0.221980333,3.87268729,3.17286845,4.57250613,0.717096667,0.0821202684,nan,0,0
113,0.220748687,7.52935573,7.37427309,7.68443837,0.702540056,0.107087577,nan,0,0
114,0.213233408,4.33563532,3.7599532,4.91131744,0.671308215,0.137280191,nan,0,0
115,0.206954367,5.00968691,4.72286528,5.29650855,0.67347542,0.169935411,nan,0,0
116,0.18489555,4.11549543,3.32807814,4.90291271,0.609137529,0.929040701,nan,0,0
117,0.178299708,5.61256032,4.91788595,6.30723469,0.392183933,1.51650211,nan,0,0
118,0.174427107,4.43020395,4.36950756,4.49090034,0.367374914,0.796007517,nan,0,0
119,0.195303131,5.02154078,4.40749576,5.6355858,0.304313172,0.752567167,nan,0,0
120,0.184395632,4.1780914,3.56881483,4.78736798,0.113288715,0.490444255,nan,0,0
121,0.188562121,3.39554587,2.72136318,4.06972856,0.22847103,0.554981178,nan,0,0
122,0.203354184,4.06019238,3.59962389,4.52076087,0.229799239,0.234746922,nan,0,0
123,0.212312721,4.27436154,3.63469669,4.91402639,0.294506277,0.194417434,nan,0,0
124,0.201587504,5.57144009,4.86816229,6.27471789,0.301097687,0.162699659,nan,0,0
125,0.201530752,3.58770417,3.08178552,4.09362283,0.278659348,0.145345239,nan,0,0
126,0.216122497,5.10111092,4.67824066,5.52398118,0.282768226,0.147513785,nan,0,0
127,0.204072687,4.78713471,4.26621176,5.30805766,0.28856699,0.168453003,nan,0,0
128,0.221641125,4.85241678,4.32316876,5.38166479,0.302407312,0.202419195,nan,0,0
