frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
108,0.229731609,5.66104738,5.29721196,6.02488281,nan,nan,nan,0,0
109,0.215040572,5.1973749,4.38330534,6.01144446,5.72318807,4.46485048,nan,0,0
110,0.214925533,5.35330066,4.56562578,6.14097554,5.72959014,4.40602281,nan,0,0
111,0.214143173,5.5764033,5.35119127,5.80161534,4.37870736,3.14045748,nan,0,0
112,0.217135276,4.31878808,3.21895287,5.41862328,3.97630864,1.25774773,nan,0,0
113,0.241002234,3.84934188,3.25171753,4.44696623,8.37558638,5.71833176,nan,0,0
114,0.238638465,3.68101478,2.83514761,4.52688195,8.78471531,18.1376429,nan,0,0
115,0.21972358,4.13460572,3.49884964,4.77036181,6.35599529,0.98955988,nan,0,0
116,0.198175833,3.80742119,3.16203472,4.45280766,4.49956373,8.78742261,nan,0,0
117,0.152172451,5.36147193,4.05522125,6.6677226,13.029929,6.45775454,nan,0,0
118,0.177358957,5.18988964,4.51819479,5.86158449,5.46077002,5.087391,nan,0,0
119,0.211649944,3.91213951,3.46149466,4.36278436,10.0270052,4.7877275,nan,0,0
120,0.189506294,4.93623116,3.72458993,6.14787239,12.0866588,2.38510951,nan,0,0
121,0.163451113,4.78512578,4.02433117,5.54592038,3.39240579,9.16306389,nan,0,0
122,0.178553904,4.65257232,3.86058179,5.44456285,3.95526249,4.08731509,nan,0,0
123,0.206976621,5.04934571,3.85740411,6.24128732,3.72587904,6.11633797,nan,0,0
124,0.226883378,3.3401552,2.52519076,4.15511963,18.052015,4.92112696,nan,0,0
125,0.223114792,3.35101874,2.70091487,4.00112262,1.26356832,5.09081067,nan,0,0
126,0.229807657,3.39890536,2.53651883,4.26129189,4.94664345,8.95836109,nan,0,0
127,0.208547289,3.30638249,2.44998683,4.16277815,3.57341061,1.81706032,nan,0,0
128,0.237640352,3.29224291,2.68168851,3.90279731,5.43770321,12.7686647,nan,0,0
