frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
108,20,backward,robust,False,5.723188065211451,4.464850478570519,5.451446628546046,0.82,2.820257921571451,50,maximum_iterations,8200,6560
109,19,backward,robust,False,5.729590143265897,4.406022806185768,4.559944820065138,0.8717,2.519652635191499,50,maximum_iterations,8717,6974
110,18,backward,robust,False,4.3787073621714425,3.1404574799306113,4.737710520583355,0.8608,2.751049703194723,50,maximum_iterations,8608,6887
111,17,backward,robust,False,3.976308636087813,1.2577477346542667,5.519401528000898,0.8098,2.9579879436793997,50,maximum_iterations,8098,6479
112,16,backward,robust,False,8.375586376399076,5.71833176447477,3.437545797243885,0.9426,2.148523364089373,50,maximum_iterations,9426,7541
113,15,backward,robust,False,8.784715308448495,18.13764286134686,3.4513168301339734,0.9759,2.535620352010939,50,maximum_iterations,9759,7808
114,14,backward,robust,False,6.355995293159938,0.9895598801975153,3.040030878318347,0.9843,2.2227616237792387,50,maximum_iterations,9843,7875
115,13,backward,robust,False,4.49956373366394,8.787422613362336,3.6890600382498104,0.9369,2.406454483703802,50,maximum_iterations,9369,7496
116,12,backward,robust,False,13.029928988411813,6.457754540767506,3.34703694478524,0.9796,2.5959071013567114,50,maximum_iterations,9796,7837
117,11,backward,robust,False,5.46077001647533,5.0873910028912155,4.229228325675175,0.9131,2.698465634102259,50,maximum_iterations,9131,7305
118,10,backward,robust,False,10.027005198716115,4.7877275049756935,4.691488467389368,0.8822,2.613377910187635,50,maximum_iterations,8822,7058
119,9,backward,robust,False,12.086658811814825,2.3851095081957396,3.657059943854896,0.9533,2.4939206820515625,50,maximum_iterations,9533,7627
120,8,backward,robust,False,3.392405785204688,9.163063891015025,3.898856345228556,0.922,2.505420386418396,50,maximum_iterations,9220,7376
121,7,backward,robust,False,3.955262493766053,4.087315094024448,4.200636795146785,0.9075,2.7568390475782802,50,maximum_iterations,9075,7260
122,6,backward,robust,False,3.7258790386358696,6.116337965753741,4.049311622011224,0.9142,2.600147881681833,50,maximum_iterations,9142,7314
123,5,backward,robust,False,18.052015011369175,4.921126962659173,4.041050033780514,0.9075,2.461708206452151,50,maximum_iterations,9075,7260
124,4,backward,robust,False,1.263568323382215,5.090810667370816,2.735569974325881,0.9943,2.142755730740352,50,maximum_iterations,9943,7955
125,3,backward,robust,False,4.946643453822789,8.958361094887199,2.9021960406054377,0.9923,2.3131191060257548,50,maximum_iterations,9923,7939
126,2,backward,robust,False,3.57341060749428,1.817060322166243,2.7412332770780883,0.9964,2.1160570705837647,46,converged,9964,7972
127,1,backward,robust,False,5.4377032133730285,12.768664714578973,2.6549946738681087,0.9973,2.0809957438693782,50,maximum_iterations,9973,7979
128,0,backward,robust,True,2.70887931186132,1.0994172685040178,2.8791032546012185,0.9894,2.301849651651199,50,maximum_iterations,9894,7916
