frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
108,0.279725811,3.40776655,3.02882275,3.78671036,nan,nan,nan,0,0
109,0.25107333,3.38197986,2.6390716,4.12488812,6.31441034,8.45428429,nan,0,0
110,0.273591851,3.37073156,2.72313708,4.01832603,7.38626911,2.55105985,nan,0,0
111,0.268023008,3.60138462,3.34478873,3.85798051,2.05739907,5.35246898,nan,0,0
112,0.247663911,3.60567864,2.84851868,4.3628386,6.07965019,1.83257167,nan,0,0
113,0.238790084,3.86401825,3.24450995,4.48352655,7.98626924,9.64278488,nan,0,0
114,0.226710275,4.98567123,3.80897741,6.16236506,8.36681078,5.57844659,nan,0,0
115,0.214937473,5.69452035,4.94135186,6.44768885,4.45388743,2.46582606,nan,0,0
116,0.183507612,4.66557957,3.67279498,5.65836415,1.31341205,3.96583248,nan,0,0
117,0.156256362,5.59358276,4.11125775,7.07590778,7.23642662,10.4600737,nan,0,0
118,0.166070909,4.98361053,4.30900644,5.65821462,4.9704566,5.84453132,nan,0,0
119,0.212460838,3.91894872,3.47148208,4.36641536,12.456134,6.28941135,nan,0,0
120,0.190731315,5.01492682,3.75195276,6.27790087,13.0740053,2.14244604,nan,0,0
121,0.187896475,3.65457166,2.9027826,4.40636072,7.31244815,7.18267593,nan,0,0
122,0.211959254,3.3943266,2.88900266,3.89965054,8.40820452,4.20510295,nan,0,0
123,0.221720122,3.51827252,2.60559928,4.43094576,5.1333371,8.12006998,nan,0,0
124,0.223595964,3.38009131,2.54114634,4.21903628,2.68080729,11.7856776,nan,0,0
125,0.224724096,3.37063662,2.7237476,4.01752565,3.55338702,4.46640239,nan,0,0
126,0.229622322,3.40345322,2.53925729,4.26764915,3.47194772,9.40185068,nan,0,0
127,0.209674228,3.27577203,2.3957612,4.15578285,4.66496473,1.1504046,nan,0,0
128,0.249724236,3.34843011,2.64269218,4.05416804,0.27068729,13.8217357,nan,0,0
