frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
108,20,backward,sequential,False,7.967317341588837,7.31264292704487,3.631767734239361,0.9958,4.15917343485402,,open3d_or_translation_icp,,
109,19,backward,sequential,False,5.540543003549374,2.4737316222853147,2.9170228912669836,0.9816,4.519825837175402,,open3d_or_translation_icp,,
110,18,backward,sequential,False,1.3984548345134555,4.5975030566503445,3.1540049095727567,0.979,4.451114404525856,,open3d_or_translation_icp,,
111,17,backward,sequential,False,5.351721210086315,1.2972244781775468,3.5959873978150174,0.9686,4.154025847483228,,open3d_or_translation_icp,,
112,16,backward,sequential,False,5.997435026732026,8.827940897524435,3.28885887718458,0.9766,4.762229477336472,,open3d_or_translation_icp,,
113,15,backward,sequential,False,5.702717521199412,16.630904116407535,3.9143000863849315,0.993,4.679538153305947,,open3d_or_translation_icp,,
114,14,backward,sequential,False,4.031559654004634,0.18749037684496844,3.3235212672504963,0.9656,4.779069079781673,,open3d_or_translation_icp,,
115,13,backward,sequential,False,1.8267957163423394,8.114000043003902,3.8298086373842604,0.931,4.940101532996993,,open3d_or_translation_icp,,
116,12,backward,sequential,False,4.501025981996297,15.195453312352678,3.2892140310340006,0.9746,4.777559460555966,,open3d_or_translation_icp,,
117,11,backward,sequential,False,2.1088410357647356,4.52113457756316,3.273841452093558,0.9638,4.7779669523456105,,open3d_or_translation_icp,,
118,10,backward,sequential,False,4.524665832434136,11.517431924458434,3.898729623459057,0.9818,4.595062632907618,,open3d_or_translation_icp,,
119,9,backward,sequential,False,2.0592053400769372,10.13648481129142,3.9603215951141237,0.9698,4.728927166016744,,open3d_or_translation_icp,,
120,8,backward,sequential,False,2.538932506090028,5.617232887835433,3.398319220450627,0.978,4.869325075591757,,open3d_or_translation_icp,,
121,7,backward,sequential,False,1.2063979198803758,2.9512078431844726,2.9939924073474566,0.957,4.261307610138507,,open3d_or_translation_icp,,
122,6,backward,sequential,False,1.5328601065904646,8.460027878387205,3.288767058743232,0.9674,4.374064082905987,,open3d_or_translation_icp,,
123,5,backward,sequential,False,2.497159429530401,13.424788807288056,3.078095008427913,0.947,4.442378901878696,,open3d_or_translation_icp,,
124,4,backward,sequential,False,4.015090840237156,6.653583042463708,3.0202892628693654,0.9634,4.247294201177324,,open3d_or_translation_icp,,
125,3,backward,sequential,False,1.036861436587932,9.470231583971598,3.0367111343511715,0.961,4.2633414285456865,,open3d_or_translation_icp,,
126,2,backward,sequential,False,3.024668312284189,1.2027382340224193,3.0152791887624457,0.9534,4.399122384896354,,open3d_or_translation_icp,,
127,1,backward,sequential,False,1.9782552091647605,13.787061994256932,2.8373008870521335,0.9538,4.3494721715003015,,open3d_or_translation_icp,,
128,0,backward,sequential,True,0.0339476134381751,0.010445750685469683,2.990951710523946,0.9588,4.2587919073889005,,open3d_or_translation_icp,,
