frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
108,0.27152343,3.51595705,3.43701285,3.59490125,nan,nan,nan,0,0
109,0.26183329,4.02756092,3.42481545,4.6303064,7.37888053,5.47377449,nan,0,0
110,0.245230722,3.41095259,2.908336,3.91356918,10.0565371,1.98449514,nan,0,0
111,0.215474857,3.63514976,3.38060451,3.88969502,11.8416446,6.25819607,nan,0,0
112,0.224541985,3.68593938,3.16389453,4.20798424,13.4255579,2.75149483,nan,0,0
113,0.231726374,3.90554476,3.72511058,4.08597895,8.52569703,8.47851804,nan,0,0
114,0.211189715,3.77807702,3.15240251,4.40375153,6.71404093,16.6410827,nan,0,0
115,0.207105384,4.20046395,3.6297521,4.7711758,4.95284574,0.27074336,nan,0,0
116,0.176347673,3.70161203,3.1089396,4.29428446,1.28946184,8.25189338,nan,0,0
117,0.171394699,3.78033471,3.09462035,4.46604907,5.22708599,15.2356489,nan,0,0
118,0.175785696,3.89085206,3.6946095,4.08709463,2.12035163,4.50921941,nan,0,0
119,0.1825711,4.02059452,3.77512247,4.26606656,4.60915009,11.5515427,nan,0,0
120,0.174147061,3.80705124,3.21563552,4.39846695,1.82559942,10.0921702,nan,0,0
121,0.187885402,3.38718743,2.7824882,3.99188666,2.19461385,5.57985903,nan,0,0
122,0.211722933,3.47442473,3.06942781,3.87942165,0.803992237,2.95552466,nan,0,0
123,0.213384977,3.56495738,2.87629072,4.25362403,1.52471714,8.48222333,nan,0,0
124,0.206577874,3.35168484,2.8140234,3.88934627,2.46074526,13.4974949,nan,0,0
125,0.207994794,3.37570481,2.83806632,3.9133433,4.72352359,6.71742513,nan,0,0
126,0.208612809,3.46271959,2.81335105,4.11208813,1.37666241,9.52247957,nan,0,0
127,0.188419986,3.3572228,2.66390893,4.05053667,3.37684028,1.24200786,nan,0,0
128,0.230844007,3.33630709,2.7906235,3.88199069,1.98151925,13.8038908,nan,0,0
