frame,silhouette_iou,chamfer_cm,observation_to_mesh_cm,mesh_to_observation_cm,rotation_change_deg,translation_change_cm,symmetry_shape_error_ratio,large_rotation_jump,possible_symmetry_flip
108,0.26831341,3.40607559,3.21922361,3.59292757,nan,nan,nan,0,0
109,0.250014437,3.66778311,2.88320385,4.45236238,2.60247228,4.82389469,nan,0,0
110,0.240796989,3.38975714,2.84027152,3.93924277,3.10073659,2.76538802,nan,0,0
111,0.22866052,3.56258865,3.20901556,3.91616174,3.75641498,3.54062457,nan,0,0
112,0.231433606,3.84721094,3.36200589,4.332416,4.65559032,2.78987943,nan,0,0
113,0.236756612,4.6410668,4.31901306,4.96312053,4.22889518,1.77191989,nan,0,0
114,0.218994911,4.10076721,3.47505579,4.72647864,3.81180432,7.73340499,nan,0,0
115,0.205123139,4.38337169,3.84684233,4.91990106,2.75082514,2.79900525,nan,0,0
116,0.181672748,4.50747781,3.66092463,5.35403099,1.06278505,1.00881855,nan,0,0
117,0.174427315,4.32524872,3.8014675,4.84902994,2.33320394,5.11910904,nan,0,0
118,0.172523225,3.99331648,3.78617297,4.20045999,1.00276233,1.62931721,nan,0,0
119,0.189198952,4.66056811,4.10527013,5.21586609,1.76619917,4.7734795,nan,0,0
120,0.175151439,4.01442324,3.36643505,4.66241143,0.978859395,1.66075609,nan,0,0
121,0.189068133,3.33986199,2.63725215,4.04247183,1.69369097,2.13367658,nan,0,0
122,0.213094207,3.62310356,3.13428852,4.1119186,0.414875726,1.49659517,nan,0,0
123,0.223185406,4.33664434,3.686492,4.98679668,1.47106821,1.11819328,nan,0,0
124,0.21795166,3.75820807,3.02256991,4.49384624,0.928720994,4.08098324,nan,0,0
125,0.213150438,3.36088796,2.75551948,3.96625644,2.51931743,3.27164241,nan,0,0
126,0.215174398,3.49713238,2.78725366,4.2070111,1.31008417,6.68654327,nan,0,0
127,0.199746433,3.38584198,2.64687016,4.1248138,2.24913576,1.0942543,nan,0,0
128,0.234589497,3.40131743,2.79667152,4.00596334,0.493672987,9.89846707,nan,0,0
